variant,decision_time,year,scope,boundary,margin,below_1pct,below_2pct,below_5pct,below_10pct,below_20pct
A2,2019-01-07T00:00:00+00:00,2019,FULL_ONLY,4_5,,False,False,False,False,False
A2,2019-01-07T00:00:00+00:00,2019,FULL_ONLY,6_7,,False,False,False,False,False
A2,2019-01-07T00:00:00+00:00,2019,FULL_ONLY,8_9,,False,False,False,False,False
A2,2019-01-07T00:00:00+00:00,2019,FULL_ONLY,10_11,,False,False,False,False,False
A2,2019-01-07T00:00:00+00:00,2019,FULL_ONLY,30_31,,False,False,False,False,False
A2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,4_5,,False,False,False,False,False
A2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,6_7,,False,False,False,False,False
A2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,8_9,,False,False,False,False,False
A2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,10_11,,False,False,False,False,False
A2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,30_31,,False,False,False,False,False
A2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,4_5,,False,False,False,False,False
A2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,6_7,,False,False,False,False,False
A2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,8_9,,False,False,False,False,False
A2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,10_11,,False,False,False,False,False
A2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,30_31,,False,False,False,False,False
A2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,4_5,,False,False,False,False,False
A2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,6_7,,False,False,False,False,False
A2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,8_9,,False,False,False,False,False
A2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,10_11,,False,False,False,False,False
A2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,30_31,,False,False,False,False,False
A2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,4_5,,False,False,False,False,False
A2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,6_7,,False,False,False,False,False
A2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,8_9,,False,False,False,False,False
A2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,10_11,,False,False,False,False,False
A2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,30_31,,False,False,False,False,False
A2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,4_5,,False,False,False,False,False
A2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,6_7,,False,False,False,False,False
A2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,8_9,,False,False,False,False,False
A2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,10_11,,False,False,False,False,False
A2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,30_31,,False,False,False,False,False
A2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,4_5,,False,False,False,False,False
A2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,6_7,,False,False,False,False,False
A2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,8_9,,False,False,False,False,False
A2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,10_11,,False,False,False,False,False
A2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,30_31,,False,False,False,False,False
A2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,4_5,,False,False,False,False,False
A2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,6_7,,False,False,False,False,False
A2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,8_9,,False,False,False,False,False
A2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,10_11,,False,False,False,False,False
A2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,30_31,,False,False,False,False,False
A2,2019-03-04T00:00:00+00:00,2019,FULL_ONLY,4_5,,False,False,False,False,False
A2,2019-03-04T00:00:00+00:00,2019,FULL_ONLY,6_7,,False,False,False,False,False
A2,2019-03-04T00:00:00+00:00,2019,FULL_ONLY,8_9,,False,False,False,False,False
A2,2019-03-04T00:00:00+00:00,2019,FULL_ONLY,10_11,,False,False,False,False,False
A2,2019-03-04T00:00:00+00:00,2019,FULL_ONLY,30_31,,False,False,False,False,False
A2,2019-03-11T00:00:00+00:00,2019,FULL_ONLY,4_5,,False,False,False,False,False
A2,2019-03-11T00:00:00+00:00,2019,FULL_ONLY,6_7,,False,False,False,False,False
A2,2019-03-11T00:00:00+00:00,2019,FULL_ONLY,8_9,,False,False,False,False,False
A2,2019-03-11T00:00:00+00:00,2019,FULL_ONLY,10_11,,False,False,False,False,False
A2,2019-03-11T00:00:00+00:00,2019,FULL_ONLY,30_31,,False,False,False,False,False
A2,2019-03-18T00:00:00+00:00,2019,FULL_ONLY,4_5,,False,False,False,False,False
A2,2019-03-18T00:00:00+00:00,2019,FULL_ONLY,6_7,,False,False,False,False,False
A2,2019-03-18T00:00:00+00:00,2019,FULL_ONLY,8_9,,False,False,False,False,False
A2,2019-03-18T00:00:00+00:00,2019,FULL_ONLY,10_11,,False,False,False,False,False
A2,2019-03-18T00:00:00+00:00,2019,FULL_ONLY,30_31,,False,False,False,False,False
A2,2019-03-25T00:00:00+00:00,2019,FULL_ONLY,4_5,,False,False,False,False,False
A2,2019-03-25T00:00:00+00:00,2019,FULL_ONLY,6_7,,False,False,False,False,False
A2,2019-03-25T00:00:00+00:00,2019,FULL_ONLY,8_9,,False,False,False,False,False
A2,2019-03-25T00:00:00+00:00,2019,FULL_ONLY,10_11,,False,False,False,False,False
