variant,membership_type,scope,asset,membership_weeks,entry_count,reentry_count,first_entry,final_exit,mean_duration_weeks,median_duration_weeks,maximum_duration_weeks
C2,TOP_4,FULL,ADA-USDT,43,7,6,2020-06-22T00:00:00+00:00,2022-07-04T00:00:00+00:00,6.142857142857143,7,13
C2,TOP_4,FULL,ATOM-USDT,4,1,0,2022-01-24T00:00:00+00:00,2022-02-14T00:00:00+00:00,4.0,4,4
C2,TOP_4,FULL,AVAX-USDT,14,4,3,2021-12-20T00:00:00+00:00,2024-01-15T00:00:00+00:00,3.5,4.0,5
C2,TOP_4,FULL,BCHSV-USDT,34,2,1,2019-07-15T00:00:00+00:00,2020-06-01T00:00:00+00:00,17.0,17.0,23
C2,TOP_4,FULL,BTC-USDT,310,1,0,2019-01-28T00:00:00+00:00,2024-12-30T00:00:00+00:00,310.0,310,310
C2,TOP_4,FULL,DOGE-USDT,19,6,5,2021-05-17T00:00:00+00:00,2024-11-25T00:00:00+00:00,3.1666666666666665,2.5,8
C2,TOP_4,FULL,DOT-USDT,3,1,0,2022-01-17T00:00:00+00:00,2022-01-31T00:00:00+00:00,3.0,3,3
C2,TOP_4,FULL,ETH-USDT,310,1,0,2019-01-28T00:00:00+00:00,2024-12-30T00:00:00+00:00,310.0,310,310
C2,TOP_4,FULL,ICP-USDT,5,1,0,2024-01-22T00:00:00+00:00,2024-02-19T00:00:00+00:00,5.0,5,5
C2,TOP_4,FULL,KCS-USDT,89,4,3,2019-03-11T00:00:00+00:00,2021-08-02T00:00:00+00:00,22.25,10.5,67
C2,TOP_4,FULL,LTC-USDT,12,7,6,2019-03-25T00:00:00+00:00,2023-06-12T00:00:00+00:00,1.7142857142857142,2,3
C2,TOP_4,FULL,LUNC-USDT,8,1,0,2022-09-12T00:00:00+00:00,2022-10-31T00:00:00+00:00,8.0,8,8
C2,TOP_4,FULL,NEAR-USDT,6,2,1,2022-04-25T00:00:00+00:00,2024-05-13T00:00:00+00:00,3.0,3.0,4
C2,TOP_4,FULL,NEO-USDT,1,1,0,2019-03-18T00:00:00+00:00,2019-03-18T00:00:00+00:00,1.0,1,1
C2,TOP_4,FULL,PEPE-USDT,15,3,2,2024-03-18T00:00:00+00:00,2024-10-21T00:00:00+00:00,5.0,3,10
C2,TOP_4,FULL,SAND-USDT,3,1,0,2021-12-06T00:00:00+00:00,2021-12-20T00:00:00+00:00,3.0,3,3
C2,TOP_4,FULL,SHIB-USDT,13,3,2,2021-10-25T00:00:00+00:00,2023-08-28T00:00:00+00:00,4.333333333333333,3,8
C2,TOP_4,FULL,SOL-USDT,120,8,7,2022-02-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,15.0,7.0,70
C2,TOP_4,FULL,SUI-USDT,2,1,0,2024-10-28T00:00:00+00:00,2024-11-04T00:00:00+00:00,2.0,2,2
C2,TOP_4,FULL,TRX-USDT,3,1,0,2020-09-21T00:00:00+00:00,2020-10-05T00:00:00+00:00,3.0,3,3
C2,TOP_4,FULL,VET-USDT,2,2,1,2021-03-29T00:00:00+00:00,2021-05-03T00:00:00+00:00,1.0,1.0,1
C2,TOP_4,FULL,XRP-USDT,211,18,17,2019-04-08T00:00:00+00:00,2024-12-30T00:00:00+00:00,11.722222222222221,5.5,70
C2,TOP_4,POST_WARMUP,ADA-USDT,43,7,6,2020-06-22T00:00:00+00:00,2022-07-04T00:00:00+00:00,6.142857142857143,7,13
C2,TOP_4,POST_WARMUP,ATOM-USDT,4,1,0,2022-01-24T00:00:00+00:00,2022-02-14T00:00:00+00:00,4.0,4,4
C2,TOP_4,POST_WARMUP,AVAX-USDT,14,4,3,2021-12-20T00:00:00+00:00,2024-01-15T00:00:00+00:00,3.5,4.0,5
C2,TOP_4,POST_WARMUP,BCHSV-USDT,34,2,1,2019-07-15T00:00:00+00:00,2020-06-01T00:00:00+00:00,17.0,17.0,23
C2,TOP_4,POST_WARMUP,BTC-USDT,301,1,0,2019-04-01T00:00:00+00:00,2024-12-30T00:00:00+00:00,301.0,301,301
C2,TOP_4,POST_WARMUP,DOGE-USDT,19,6,5,2021-05-17T00:00:00+00:00,2024-11-25T00:00:00+00:00,3.1666666666666665,2.5,8
C2,TOP_4,POST_WARMUP,DOT-USDT,3,1,0,2022-01-17T00:00:00+00:00,2022-01-31T00:00:00+00:00,3.0,3,3
C2,TOP_4,POST_WARMUP,ETH-USDT,301,1,0,2019-04-01T00:00:00+00:00,2024-12-30T00:00:00+00:00,301.0,301,301
C2,TOP_4,POST_WARMUP,ICP-USDT,5,1,0,2024-01-22T00:00:00+00:00,2024-02-19T00:00:00+00:00,5.0,5,5
C2,TOP_4,POST_WARMUP,KCS-USDT,86,4,3,2019-04-01T00:00:00+00:00,2021-08-02T00:00:00+00:00,21.5,9.0,67
C2,TOP_4,POST_WARMUP,LTC-USDT,11,7,6,2019-04-01T00:00:00+00:00,2023-06-12T00:00:00+00:00,1.5714285714285714,1,3
C2,TOP_4,POST_WARMUP,LUNC-USDT,8,1,0,2022-09-12T00:00:00+00:00,2022-10-31T00:00:00+00:00,8.0,8,8
