decision_time,classification,legacy_assets,legacy_asset_count,historical_eligible_count,eligible_legacy_count,top_6_overlap,top_6_jaccard,top_10_overlap,top_10_jaccard,historical_top6_omitted_by_legacy,legacy_assets_not_historically_eligible
2019-01-07T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,AVAX-USDT;BTC-USDT;ETH-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,6,0,0,0,0.0,0,0.0,,AVAX-USDT;BTC-USDT;ETH-USDT;LINK-USDT;NEAR-USDT;SOL-USDT
2019-01-14T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,AVAX-USDT;BTC-USDT;ETH-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,6,0,0,0,0.0,0,0.0,,AVAX-USDT;BTC-USDT;ETH-USDT;LINK-USDT;NEAR-USDT;SOL-USDT
2019-01-21T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,AVAX-USDT;BTC-USDT;ETH-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,6,0,0,0,0.0,0,0.0,,AVAX-USDT;BTC-USDT;ETH-USDT;LINK-USDT;NEAR-USDT;SOL-USDT
2019-01-28T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,AVAX-USDT;BTC-USDT;ETH-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,6,2,2,2,0.3333333333333333,2,0.3333333333333333,,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT
2019-02-04T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,AVAX-USDT;BTC-USDT;ETH-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,6,2,2,2,0.3333333333333333,2,0.3333333333333333,,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT
2019-02-11T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,AVAX-USDT;BTC-USDT;ETH-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,6,2,2,2,0.3333333333333333,2,0.3333333333333333,,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT
2019-02-18T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,AVAX-USDT;BTC-USDT;ETH-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,6,2,2,2,0.3333333333333333,2,0.3333333333333333,,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT
2019-02-25T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,AVAX-USDT;BTC-USDT;ETH-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,6,2,2,2,0.3333333333333333,2,0.3333333333333333,,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT
2019-03-04T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,AVAX-USDT;BTC-USDT;ETH-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,6,2,2,2,0.3333333333333333,2,0.3333333333333333,,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT
2019-03-11T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,AVAX-USDT;BTC-USDT;ETH-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,6,3,2,2,0.2857142857142857,2,0.2857142857142857,KCS-USDT,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT
