variant,membership_type,scope,year,decision_time,member_count,one_week_turnover_count,four_week_turnover_count,one_week_retention_rate,four_week_retention_rate,changed
C2,TOP_4,FULL,2019,2019-01-07T00:00:00+00:00,0,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-01-14T00:00:00+00:00,0,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-01-21T00:00:00+00:00,0,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-01-28T00:00:00+00:00,2,2,2,1.0,1.0,True
C2,TOP_4,FULL,2019,2019-02-04T00:00:00+00:00,2,0,2,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-02-11T00:00:00+00:00,2,0,2,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-02-18T00:00:00+00:00,2,0,2,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-02-25T00:00:00+00:00,2,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-03-04T00:00:00+00:00,2,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-03-11T00:00:00+00:00,3,1,1,1.0,1.0,True
C2,TOP_4,FULL,2019,2019-03-18T00:00:00+00:00,4,1,2,1.0,1.0,True
C2,TOP_4,FULL,2019,2019-03-25T00:00:00+00:00,4,2,2,0.75,1.0,True
C2,TOP_4,FULL,2019,2019-04-01T00:00:00+00:00,4,0,2,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-04-08T00:00:00+00:00,4,2,1,0.75,1.0,True
C2,TOP_4,FULL,2019,2019-04-15T00:00:00+00:00,4,0,2,1.0,0.75,False
C2,TOP_4,FULL,2019,2019-04-22T00:00:00+00:00,4,2,0,0.75,1.0,True
C2,TOP_4,FULL,2019,2019-04-29T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-05-06T00:00:00+00:00,4,2,0,0.75,1.0,True
C2,TOP_4,FULL,2019,2019-05-13T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-05-20T00:00:00+00:00,4,2,0,0.75,1.0,True
C2,TOP_4,FULL,2019,2019-05-27T00:00:00+00:00,4,2,2,0.75,0.75,True
C2,TOP_4,FULL,2019,2019-06-03T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-06-10T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-06-17T00:00:00+00:00,4,0,2,1.0,0.75,False
C2,TOP_4,FULL,2019,2019-06-24T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-07-01T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-07-08T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-07-15T00:00:00+00:00,4,2,2,0.75,0.75,True
C2,TOP_4,FULL,2019,2019-07-22T00:00:00+00:00,4,2,2,0.75,0.75,True
C2,TOP_4,FULL,2019,2019-07-29T00:00:00+00:00,4,0,2,1.0,0.75,False
C2,TOP_4,FULL,2019,2019-08-05T00:00:00+00:00,4,0,2,1.0,0.75,False
C2,TOP_4,FULL,2019,2019-08-12T00:00:00+00:00,4,0,2,1.0,0.75,False
C2,TOP_4,FULL,2019,2019-08-19T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-08-26T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-09-02T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-09-09T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-09-16T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-09-23T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-09-30T00:00:00+00:00,4,2,2,0.75,0.75,True
C2,TOP_4,FULL,2019,2019-10-07T00:00:00+00:00,4,0,2,1.0,0.75,False
C2,TOP_4,FULL,2019,2019-10-14T00:00:00+00:00,4,0,2,1.0,0.75,False
C2,TOP_4,FULL,2019,2019-10-21T00:00:00+00:00,4,0,2,1.0,0.75,False
C2,TOP_4,FULL,2019,2019-10-28T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-11-04T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-11-11T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-11-18T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-11-25T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-12-02T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-12-09T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-12-16T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-12-23T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2019,2019-12-30T00:00:00+00:00,4,2,2,0.75,0.75,True
C2,TOP_4,FULL,2020,2020-01-06T00:00:00+00:00,4,0,2,1.0,0.75,False
C2,TOP_4,FULL,2020,2020-01-13T00:00:00+00:00,4,0,2,1.0,0.75,False
C2,TOP_4,FULL,2020,2020-01-20T00:00:00+00:00,4,0,2,1.0,0.75,False
C2,TOP_4,FULL,2020,2020-01-27T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2020,2020-02-03T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2020,2020-02-10T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2020,2020-02-17T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2020,2020-02-24T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2020,2020-03-02T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2020,2020-03-09T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2020,2020-03-16T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2020,2020-03-23T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2020,2020-03-30T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2020,2020-04-06T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2020,2020-04-13T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2020,2020-04-20T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2020,2020-04-27T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2020,2020-05-04T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2020,2020-05-11T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2020,2020-05-18T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2020,2020-05-25T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2020,2020-06-01T00:00:00+00:00,4,0,0,1.0,1.0,False
C2,TOP_4,FULL,2020,2020-06-08T00:00:00+00:00,4,2,2,0.75,0.75,True
C2,TOP_4,FULL,2020,2020-06-15T00:00:00+00:00,4,0,2,1.0,0.75,False
C2,TOP_4,FULL,2020,2020-06-22T00:00:00+00:00,4,2,2,0.75,0.75,True
C2,TOP_4,FULL,2020,2020-06-29T00:00:00+00:00,4,0,2,1.0,0.75,False
