snapshot_date,aligned_decision_time,cmc_top6,C2_raw_members,C2_raw_overlap,C2_raw_jaccard,C2_raw_cmc_only,C2_raw_liquidity_only,C2_raw_common_rank_displacement,C2_hysteresis_members,C2_hysteresis_overlap,C2_hysteresis_jaccard,C2_hysteresis_cmc_only,C2_hysteresis_liquidity_only,C2_hysteresis_common_rank_displacement,D2_raw_members,D2_raw_overlap,D2_raw_jaccard,D2_raw_cmc_only,D2_raw_liquidity_only,D2_raw_common_rank_displacement,D2_hysteresis_members,D2_hysteresis_overlap,D2_hysteresis_jaccard,D2_hysteresis_cmc_only,D2_hysteresis_liquidity_only,D2_hysteresis_common_rank_displacement
2021-05-09 00:00:00+00:00,2021-05-10T00:00:00+00:00,ADA;BNB;BTC;DOGE;ETH;XRP,ADA;BTC;ETH;KCS;VET;XRP,4,0.5,BNB;DOGE,KCS;VET,1.0,ADA;BTC;ETH;KCS;VET;XRP,4,0.5,BNB;DOGE,KCS;VET,1.0,ADA;BNB;BTC;ETH;KCS;XRP,5,0.7142857142857143,DOGE,KCS,1.4,ADA;BNB;BTC;ETH;KCS;XRP,5,0.7142857142857143,DOGE,KCS,1.4
2022-06-26 00:00:00+00:00,2022-06-27T00:00:00+00:00,ADA;BNB;BTC;ETH;SOL;XRP,ADA;AVAX;BTC;ETH;SOL;XRP,5,0.7142857142857143,BNB,AVAX,1.0,ADA;AVAX;BTC;ETH;SOL;XRP,5,0.7142857142857143,BNB,AVAX,1.0,ADA;AVAX;BTC;ETH;SOL;XRP,5,0.7142857142857143,BNB,AVAX,1.0,ADA;AVAX;BTC;ETH;SOL;XRP,5,0.7142857142857143,BNB,AVAX,1.0
2023-10-22 00:00:00+00:00,2023-10-23T00:00:00+00:00,ADA;BNB;BTC;ETH;SOL;XRP,BTC;ETH;SHIB;SOL;XMR;XRP,4,0.5,ADA;BNB,SHIB;XMR,0.5,BTC;ETH;SHIB;SOL;XMR;XRP,4,0.5,ADA;BNB,SHIB;XMR,0.5,BTC;ETH;SHIB;SOL;XMR;XRP,4,0.5,ADA;BNB,SHIB;XMR,0.5,BTC;ETH;LTC;SOL;XMR;XRP,4,0.5,ADA;BNB,LTC;XMR,0.5
2024-03-10 00:00:00+00:00,2024-03-11T00:00:00+00:00,ADA;BNB;BTC;ETH;SOL;XRP,BTC;ETH;FIL;PEPE;SOL;XRP,4,0.5,ADA;BNB,FIL;PEPE,0.5,BTC;ETH;ICP;PEPE;SOL;XRP,4,0.5,ADA;BNB,ICP;PEPE,0.5,BTC;ETH;FET;FIL;SOL;XRP,4,0.5,ADA;BNB,FET;FIL,0.5,BTC;ETH;FIL;ICP;SOL;XRP,4,0.5,ADA;BNB,FIL;ICP,0.5
