family_id,period_id,evaluable_hour_count,active_hour_count,episode_event_count,role
INTRAHOUR_DOWNSIDE_STRESS,ROBUSTNESS_2022,8591,492,430,PRIMARY_EXIT_RISK_EVIDENCE
INTRAHOUR_DOWNSIDE_STRESS,ROBUSTNESS_2023,8589,474,431,PRIMARY_EXIT_RISK_EVIDENCE
SELL_FLOW_IMPULSE,ROBUSTNESS_2022,8759,1492,1233,PRIMARY_EXIT_RISK_EVIDENCE
SELL_FLOW_IMPULSE,ROBUSTNESS_2023,8757,2096,1530,PRIMARY_EXIT_RISK_EVIDENCE
PARTICIPATION_BURST,ROBUSTNESS_2022,8591,850,0,CONTEXT_AMPLIFIER_ONLY
PARTICIPATION_BURST,ROBUSTNESS_2023,8589,970,0,CONTEXT_AMPLIFIER_ONLY
FAILED_INTRAHOUR_RECOVERY,ROBUSTNESS_2022,8640,856,762,PRIMARY_EXIT_RISK_EVIDENCE
FAILED_INTRAHOUR_RECOVERY,ROBUSTNESS_2023,8479,544,502,PRIMARY_EXIT_RISK_EVIDENCE
