family_id,universe_id,period_id,horizon_hours,episode_event_count,pair_count,markout_count,mean_forward_return,median_forward_return,qualification_use,may_rescue_primary_failure
INTRAHOUR_DOWNSIDE_STRESS,C2,ROBUSTNESS_2022,1,201,15,1206,-0.01896012575322966,-0.015687976126778413,DESCRIPTIVE_ONLY,False
INTRAHOUR_DOWNSIDE_STRESS,C2,ROBUSTNESS_2022,6,201,15,1206,-0.01968422541752361,-0.01573788158187095,DESCRIPTIVE_ONLY,False
INTRAHOUR_DOWNSIDE_STRESS,C2,ROBUSTNESS_2022,24,201,15,1206,-0.016416419704330668,-0.013560140129382114,DESCRIPTIVE_ONLY,False
INTRAHOUR_DOWNSIDE_STRESS,C2,ROBUSTNESS_2023,1,248,14,1488,-0.012915153882190326,-0.009827332780326825,DESCRIPTIVE_ONLY,False
INTRAHOUR_DOWNSIDE_STRESS,C2,ROBUSTNESS_2023,6,248,14,1488,-0.01066893708756666,-0.008578367690935063,DESCRIPTIVE_ONLY,False
INTRAHOUR_DOWNSIDE_STRESS,C2,ROBUSTNESS_2023,24,248,14,1488,-0.008888157378296768,-0.00879854207591435,DESCRIPTIVE_ONLY,False
INTRAHOUR_DOWNSIDE_STRESS,D2,ROBUSTNESS_2022,1,201,15,1206,-0.01896012575322966,-0.015687976126778413,DESCRIPTIVE_ONLY,False
INTRAHOUR_DOWNSIDE_STRESS,D2,ROBUSTNESS_2022,6,201,15,1206,-0.01968422541752361,-0.01573788158187095,DESCRIPTIVE_ONLY,False
INTRAHOUR_DOWNSIDE_STRESS,D2,ROBUSTNESS_2022,24,201,15,1206,-0.016416419704330668,-0.013560140129382114,DESCRIPTIVE_ONLY,False
INTRAHOUR_DOWNSIDE_STRESS,D2,ROBUSTNESS_2023,1,248,12,1488,-0.013263948399845146,-0.010147831057560841,DESCRIPTIVE_ONLY,False
INTRAHOUR_DOWNSIDE_STRESS,D2,ROBUSTNESS_2023,6,248,12,1488,-0.010967522442396183,-0.008636320225095473,DESCRIPTIVE_ONLY,False
INTRAHOUR_DOWNSIDE_STRESS,D2,ROBUSTNESS_2023,24,248,12,1488,-0.00891304541152314,-0.008898838047951663,DESCRIPTIVE_ONLY,False
