family_id,universe_id,period_id,episode_event_count_6h,pair_count_6h,signal_day_count_6h,mean_6h,median_6h,baseline_mean_6h,signal_excess_6h,lopo_worst_mean_6h,support_pass,direction_pass,cell_qualified
INTRAHOUR_DOWNSIDE_STRESS,C2,ROBUSTNESS_2022,430,15,221,-0.01655755193230393,-0.012042804456517953,-0.0007820590059071868,-0.015775492926396743,-0.016073989311565923,True,True,True
INTRAHOUR_DOWNSIDE_STRESS,C2,ROBUSTNESS_2023,430,14,249,-0.008851647481017223,-0.007116863652600169,0.0005683562211879063,-0.009420003702205129,-0.008547399211703437,True,True,True
INTRAHOUR_DOWNSIDE_STRESS,D2,ROBUSTNESS_2022,430,15,221,-0.01655755193230393,-0.012042804456517953,-0.0007820590059071868,-0.015775492926396743,-0.016073989311565923,True,True,True
INTRAHOUR_DOWNSIDE_STRESS,D2,ROBUSTNESS_2023,430,12,249,-0.00900861947819067,-0.007061258121630609,0.0006789806530596592,-0.00968760013125033,-0.008735765608311572,True,True,True
INTRAHOUR_DOWNSIDE_STRESS,E2,ROBUSTNESS_2022,430,15,221,-0.01655755193230393,-0.012042804456517953,-0.0007820590059071868,-0.015775492926396743,-0.016073989311565923,True,True,True
INTRAHOUR_DOWNSIDE_STRESS,E2,ROBUSTNESS_2023,430,14,249,-0.009107037285999391,-0.007179776612899702,0.0006108275721147995,-0.00971786485811419,-0.00885386697768204,True,True,True
SELL_FLOW_IMPULSE,C2,ROBUSTNESS_2022,1233,15,359,-0.003565914497150897,-0.0019911210946649827,-0.0008648024733943025,-0.0027011120237565947,-0.003438309216797198,True,True,True
SELL_FLOW_IMPULSE,C2,ROBUSTNESS_2023,1528,14,361,-0.0011404166015335426,-0.0008322215073777173,0.0005946399078386993,-0.0017350565093722419,-0.0010573970885144628,True,True,True
SELL_FLOW_IMPULSE,D2,ROBUSTNESS_2022,1233,15,359,-0.003565914497150897,-0.0019911210946649827,-0.0008648024733943025,-0.0027011120237565947,-0.003438309216797198,True,True,True
SELL_FLOW_IMPULSE,D2,ROBUSTNESS_2023,1528,12,361,-0.0010965874234070262,-0.0008210226208628102,0.0007031405933323864,-0.0017997280167394126,-0.0010299253994148375,True,True,True
SELL_FLOW_IMPULSE,E2,ROBUSTNESS_2022,1233,15,359,-0.003565914497150897,-0.0019911210946649827,-0.0008648024733943025,-0.0027011120237565947,-0.003438309216797198,True,True,True
SELL_FLOW_IMPULSE,E2,ROBUSTNESS_2023,1528,14,361,-0.0011627834595520632,-0.0008720225291084516,0.0006362959020114252,-0.0017990793615634884,-0.001049423007651657,True,True,True
FAILED_INTRAHOUR_RECOVERY,C2,ROBUSTNESS_2022,762,15,319,-0.0128826084908615,-0.008842350337707028,-0.000985899159248946,-0.011896709331612553,-0.012405815209222553,True,True,True
FAILED_INTRAHOUR_RECOVERY,C2,ROBUSTNESS_2023,502,14,268,-0.006854057780423289,-0.005530494401833674,0.0004659074535451949,-0.007319965233968484,-0.006562228110160146,True,True,True
FAILED_INTRAHOUR_RECOVERY,D2,ROBUSTNESS_2022,762,15,319,-0.0128826084908615,-0.008842350337707028,-0.000985899159248946,-0.011896709331612553,-0.012405815209222553,True,True,True
FAILED_INTRAHOUR_RECOVERY,D2,ROBUSTNESS_2023,502,12,268,-0.0069334887762839085,-0.005614436434224546,0.0005688018000884138,-0.007502290576372322,-0.006657545305192889,True,True,True
FAILED_INTRAHOUR_RECOVERY,E2,ROBUSTNESS_2022,762,15,319,-0.0128826084908615,-0.008842350337707028,-0.000985899159248946,-0.011896709331612553,-0.012405815209222553,True,True,True
FAILED_INTRAHOUR_RECOVERY,E2,ROBUSTNESS_2023,502,14,268,-0.007075968509620629,-0.005667570674362521,0.0005018941824948365,-0.007577862692115465,-0.006828520985196955,True,True,True
