family_id,universe_id,period_id,horizon_hours,family_evaluable_reference_hour_count,pair_count,markout_count,baseline_mean_forward_return,baseline_definition
SELL_FLOW_IMPULSE,D2,ROBUSTNESS_2023,1,8756,12,52536,0.00011710640594423625,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
SELL_FLOW_IMPULSE,D2,ROBUSTNESS_2023,6,8751,12,52506,0.0007031405933323864,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
SELL_FLOW_IMPULSE,D2,ROBUSTNESS_2023,24,8733,12,52398,0.002779351390737629,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
SELL_FLOW_IMPULSE,E2,ROBUSTNESS_2022,1,8759,15,52554,-0.00013960683604234678,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
SELL_FLOW_IMPULSE,E2,ROBUSTNESS_2022,6,8759,15,52554,-0.0008648024733943025,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
SELL_FLOW_IMPULSE,E2,ROBUSTNESS_2022,24,8759,15,52554,-0.0036350060504652037,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
SELL_FLOW_IMPULSE,E2,ROBUSTNESS_2023,1,8756,14,52536,0.00010558954250392548,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
SELL_FLOW_IMPULSE,E2,ROBUSTNESS_2023,6,8751,14,52506,0.0006362959020114252,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
SELL_FLOW_IMPULSE,E2,ROBUSTNESS_2023,24,8733,14,52398,0.002522609482105172,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
FAILED_INTRAHOUR_RECOVERY,C2,ROBUSTNESS_2022,1,8640,15,51840,-0.00022504368438202828,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
FAILED_INTRAHOUR_RECOVERY,C2,ROBUSTNESS_2022,6,8640,15,51840,-0.000985899159248946,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
FAILED_INTRAHOUR_RECOVERY,C2,ROBUSTNESS_2022,24,8640,15,51840,-0.00374337972418355,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
FAILED_INTRAHOUR_RECOVERY,C2,ROBUSTNESS_2023,1,8478,14,50868,-2.7971807501723315e-05,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
FAILED_INTRAHOUR_RECOVERY,C2,ROBUSTNESS_2023,6,8473,14,50838,0.0004659074535451949,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
FAILED_INTRAHOUR_RECOVERY,C2,ROBUSTNESS_2023,24,8456,14,50736,0.002270839856452694,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
FAILED_INTRAHOUR_RECOVERY,D2,ROBUSTNESS_2022,1,8640,15,51840,-0.00022504368438202828,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
FAILED_INTRAHOUR_RECOVERY,D2,ROBUSTNESS_2022,6,8640,15,51840,-0.000985899159248946,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
FAILED_INTRAHOUR_RECOVERY,D2,ROBUSTNESS_2022,24,8640,15,51840,-0.00374337972418355,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
FAILED_INTRAHOUR_RECOVERY,D2,ROBUSTNESS_2023,1,8478,12,50868,-1.3407343511261783e-05,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
FAILED_INTRAHOUR_RECOVERY,D2,ROBUSTNESS_2023,6,8473,12,50838,0.0005688018000884138,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
FAILED_INTRAHOUR_RECOVERY,D2,ROBUSTNESS_2023,24,8456,12,50736,0.0026780445644405985,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
FAILED_INTRAHOUR_RECOVERY,E2,ROBUSTNESS_2022,1,8640,15,51840,-0.00022504368438202828,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
FAILED_INTRAHOUR_RECOVERY,E2,ROBUSTNESS_2022,6,8640,15,51840,-0.000985899159248946,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
FAILED_INTRAHOUR_RECOVERY,E2,ROBUSTNESS_2022,24,8640,15,51840,-0.00374337972418355,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
FAILED_INTRAHOUR_RECOVERY,E2,ROBUSTNESS_2023,1,8478,14,50868,-2.60107850876026e-05,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
FAILED_INTRAHOUR_RECOVERY,E2,ROBUSTNESS_2023,6,8473,14,50838,0.0005018941824948365,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
FAILED_INTRAHOUR_RECOVERY,E2,ROBUSTNESS_2023,24,8456,14,50736,0.002417051529775251,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
