direction,training_period,evaluation_period,universe_id,landmark_age_hours,model_fit_pass,rank,subset_row_count,subset_unique_pair_count,subset_unique_signal_day_count,subset_actual_mean_rcv,subset_actual_median_rcv,subset_actual_negative_fraction,complement_actual_mean_rcv,subset_support_pass,subset_mean_lt_zero,subset_median_lt_zero,subset_negative_fraction_gt_0_5,subset_mean_lt_complement_mean,all_lopo_subset_required_pass,negative_subset_gate_pass
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,24,True,3,86,12,58,0.012146542246368961,-0.0082699608773576,0.5813953488372093,0.03635630358107111,True,False,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,48,True,3,91,12,57,0.0016541283894731642,-0.0068566572978626,0.6153846153846154,0.06433689223468901,True,False,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,72,True,3,48,10,32,-0.006653743733593884,-0.00134843346326585,0.5208333333333334,0.052886391521456445,True,True,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,96,True,3,35,10,26,0.005173701226475169,-0.0049225903537633,0.6,0.010077791862091656,True,False,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,120,True,3,16,9,11,-0.008326803515198999,-0.0043364553914773,0.75,0.0006557060706267788,True,True,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,144,True,3,60,10,38,0.0017692169933798108,-0.0031783437540976,0.5333333333333333,,True,False,True,True,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,24,True,3,83,12,55,0.0179359829641158,-0.0041612195766628,0.5301204819277109,0.04607181852408379,True,False,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,48,True,3,91,12,56,0.009207262424031692,-0.0053296712279496,0.5934065934065934,0.06831873902288993,True,False,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,72,True,3,50,11,34,0.024899659043722176,0.01446622836328575,0.42,0.07040170655425049,True,False,False,False,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,96,True,3,32,8,25,0.013392122967079515,-0.00348206827154535,0.5625,0.04969846382063372,True,False,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,120,True,3,12,7,11,0.010602575843342907,0.00361762608900195,0.5,0.01859690580181537,True,False,False,False,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,144,True,3,60,11,41,0.011482191178348955,-0.00182722177224985,0.5166666666666667,,True,False,True,True,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,24,True,3,86,13,58,0.01432173199155697,-0.00826996087735745,0.5697674418604651,0.04624184399898409,True,False,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,48,True,3,90,14,57,0.004503870762694099,-0.0078412570858243,0.6222222222222222,0.06379308107978648,True,False,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,72,True,3,49,11,32,0.008625888788440316,0.0069903350168265,0.46938775510204084,0.056072386574917664,True,False,False,False,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,96,True,3,33,9,25,0.0012701731571012128,-0.0049225903537633,0.6060606060606061,0.03678218209945599,True,False,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,120,True,3,13,8,10,0.0016001484962978234,-0.0001820167455408,0.5384615384615384,0.005552599522388864,True,False,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,144,True,3,60,11,39,0.004413600358769047,-0.0031783437540976,0.5333333333333333,,True,False,True,True,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,24,True,3,9,5,6,-0.06338718200255668,-0.0472102660927724,0.7777777777777778,-0.012040415341814025,False,True,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,48,True,3,12,7,11,-0.05265919624748681,-0.0259123420940174,0.8333333333333334,-0.011052980708570994,True,True,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,72,True,3,9,6,7,-0.056543539160003556,-0.0452724936743711,0.6666666666666666,-0.001068753463188516,False,True,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,96,True,3,0,0,0,,,,-0.0020030247112468274,False,False,False,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,120,True,3,12,6,9,0.005170326204502807,0.012462210702611401,0.4166666666666667,0.0033172102168273774,False,False,False,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,144,True,3,5,5,5,-0.05195310750690928,-0.0770107658328239,0.6,0.0008028468321261192,False,True,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,24,True,3,9,5,6,-0.06338718200255668,-0.0472102660927724,0.7777777777777778,-0.012040415341814025,False,True,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,48,True,3,11,6,9,-0.05717696507347056,-0.031117641062773,0.9090909090909091,-0.010815061839544364,False,True,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,72,True,3,4,3,2,-0.06665366433124152,-0.044054193293319596,0.75,-0.015006013921960479,False,True,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,96,True,3,0,0,0,,,,-0.0020030247112468274,False,False,False,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,120,True,3,8,5,6,-0.024050110500062158,-0.020518483169527098,0.625,0.021869206954305956,False,True,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,144,True,3,4,4,4,-0.08150567468193885,-0.09025145528864645,0.75,0.00465310061807217,False,True,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,24,True,3,9,5,6,-0.06338718200255668,-0.0472102660927724,0.7777777777777778,-0.012040415341814025,False,True,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,48,True,3,13,7,11,-0.0519575220330123,-0.031117641062773,0.8461538461538461,-0.010037841622610141,True,True,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,72,True,3,6,4,4,-0.028551430667803048,-0.013500767629623751,0.5,-0.023360553999431728,False,True,True,False,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,96,True,3,6,4,4,-0.034574884934429895,-0.0204951168315299,0.6666666666666666,0.011025719378026403,False,True,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,120,True,3,9,5,7,-0.006090894971466285,-0.0201172451604739,0.5555555555555556,0.012226405095723055,False,True,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,144,True,3,5,5,5,-0.05195310750690928,-0.0770107658328239,0.6,0.0008028468321261192,False,True,True,True,True,False,False
