direction,training_period,evaluation_period,universe_id,landmark_age_hours,model_fit_pass,rank,row_count,unique_position_count,unique_pair_count,unique_signal_day_count,support_pass,evaluation_row_count,evaluation_unique_position_count,evaluation_unique_pair_count,evaluation_unique_signal_day_count,evaluation_support_pass,spearman_predicted_vs_actual,predicted_bottom_half_actual_mean_rcv,predicted_top_half_actual_mean_rcv,spearman_gt_zero,top_half_mean_gt_bottom_half_mean,all_lopo_continuous_pass,continuous_gate_pass
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,24,True,3,45,45,8,22,True,124,124,12,69,True,0.19957883106573326,0.011640051460221302,0.027491273850559873,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,48,True,3,45,45,8,22,True,124,124,12,69,True,0.291224619694269,0.0014397802353799485,0.035231883106342544,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,72,True,3,21,21,7,12,True,60,60,10,38,True,0.13179727905973054,-0.0011557410119690567,0.011664307646801422,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,96,True,3,21,21,7,12,True,60,60,10,38,True,-0.08268827638653782,0.00881986478827213,0.005614279861025278,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,120,True,3,21,21,7,12,True,59,59,10,38,True,0.16446264392699325,-0.017824791290306497,0.013729515073755196,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,144,True,3,21,21,7,12,True,60,60,10,38,True,0.16452796881137402,-0.00565881271824084,0.009197246705000463,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,24,True,3,45,45,8,22,True,127,127,12,69,True,0.17763550929967176,0.005773526625342211,0.04925178787007403,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,48,True,3,45,45,8,22,True,127,127,12,69,True,0.2833060713419255,0.0025390914455948326,0.049021448817788235,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,72,True,3,21,21,7,12,True,60,60,11,41,True,0.0038917540613656212,0.031029370236664775,0.03393729702095569,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,96,True,3,21,21,7,12,True,60,60,11,41,True,0.24427800203626568,0.010544695829006783,0.05012546823513618,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,120,True,3,21,21,7,12,True,59,59,11,41,True,0.18777900525421254,-0.005045884516467664,0.038253871126099986,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,144,True,3,21,21,7,12,True,60,60,11,41,True,0.2950751743691059,-0.00447655936355798,0.02744094172025589,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,24,True,3,45,45,8,22,True,126,126,14,71,True,0.19701593304631324,0.005446570039726446,0.04346363172588089,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,48,True,3,45,45,8,22,True,126,126,14,71,True,0.34048070822987336,0.005968583189280367,0.03691870708873204,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,72,True,3,21,21,7,12,True,60,60,11,39,True,0.09634469218308278,0.008851085616150563,0.025797741149105102,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,96,True,3,21,21,7,12,True,60,60,11,39,True,0.15519733784523848,0.0004261965668767322,0.03407495779544499,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,120,True,3,21,21,7,12,True,59,59,11,39,True,0.16748136969887356,-0.013370290716851859,0.02213199797568211,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,144,True,3,21,21,7,12,True,60,60,11,39,True,0.14858687464176198,-0.0022479304471705267,0.011075131164708618,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,24,True,3,124,124,12,69,True,45,45,8,22,True,0.31637942968738014,-0.054399602217462956,0.008384854715472598,True,True,True,True
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,48,True,3,124,124,12,69,True,45,45,8,22,True,0.28650568632853773,-0.03884071822601932,-0.006180996407837363,True,True,True,True
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,72,True,3,60,60,10,38,True,21,21,7,12,True,0.20254075906555333,-0.05213795866580588,-3.066430365774889e-05,True,True,True,True
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,96,True,3,60,60,10,38,True,21,21,7,12,True,-0.1790955265049105,0.0099838163302489,-0.012900152930788396,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,120,True,3,59,59,10,38,True,21,21,7,12,True,0.29697294576814254,-0.0021050753357298667,0.010268141796616255,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,144,True,3,60,60,10,38,True,21,21,7,12,True,-0.06056685078166065,-0.009657246442933802,-0.013667956708290045,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,24,True,3,127,127,12,69,True,45,45,8,22,True,0.29119565345471105,-0.05942366305192961,0.013190478122353756,True,True,True,True
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,48,True,3,127,127,12,69,True,45,45,8,22,True,0.33543254921824434,-0.04572253944784508,0.0004016151956481439,True,True,True,True
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,72,True,3,60,60,11,41,True,21,21,7,12,True,-0.1061548029829106,-0.00132675694250467,-0.04622266587029522,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,96,True,3,60,60,11,41,True,21,21,7,12,True,0.2194734270260176,-0.029407472928484203,0.02291011003169625,True,True,True,True
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,120,True,3,59,59,11,41,True,21,21,7,12,True,0.29697294576814254,-0.0021050753357298667,0.010268141796616255,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,144,True,3,60,60,11,41,True,21,21,7,12,True,0.108759828822982,-0.0096572464429338,-0.013667956708290045,True,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,24,True,3,126,126,14,71,True,45,45,8,22,True,0.31637942968738014,-0.06177176073383779,0.015436484600700717,True,True,True,True
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,48,True,3,126,126,14,71,True,45,45,8,22,True,0.2863738079919078,-0.04572253944784508,0.0004016151956481415,True,True,True,True
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,72,True,3,60,60,11,39,True,21,21,7,12,True,0.09052464794248204,-0.05213795866580591,-3.0664303657746364e-05,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,96,True,3,60,60,11,39,True,21,21,7,12,True,0.1790955265049105,-0.029407472928484203,0.02291011003169625,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,120,True,3,59,59,11,39,True,21,21,7,12,True,0.29697294576814254,-0.0021050753357298667,0.010268141796616255,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,144,True,3,60,60,11,39,True,21,21,7,12,True,-0.04493669574123209,-0.009657246442933802,-0.013667956708290045,False,False,False,False
