direction,training_period,evaluation_period,universe_id,landmark_age_hours,model_fit_pass,rank,negative_event_count,nonnegative_event_count,auc_adverse_score,median_predicted_rcv_negative_events,median_predicted_rcv_nonnegative_events,class_support_pass,auc_gt_0_5,negative_event_median_pred_lt_nonnegative,all_lopo_auc_pass,classification_gate_pass
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,24,True,3,69,55,0.5570487483530961,-0.012401277218463949,-0.00954495519754577,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,48,True,3,65,59,0.6760104302477183,-0.018866948534839705,-0.0031956453848918133,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,72,True,3,30,30,0.5572222222222222,-0.016443912113045064,-0.02044238936441949,True,True,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,96,True,3,31,29,0.5205784204671857,-0.006299247367745794,0.0035235803673740545,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,120,True,3,39,20,0.6692307692307692,0.02179974917552762,0.036552394523157714,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,144,True,3,32,28,0.5881696428571429,-0.023025821903881336,-0.021817082013460207,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,24,True,3,66,61,0.5478142076502732,-0.011608412430559687,-0.008589499883134987,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,48,True,3,63,64,0.6610863095238095,-0.018866948534839705,-0.0046019700016875515,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,72,True,3,25,35,0.48914285714285716,-0.016443912113045064,-0.022265869431897456,True,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,96,True,3,25,35,0.632,-0.006299247367745794,0.009073710950429211,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,120,True,3,30,29,0.6189655172413793,0.023642476198473636,0.03149217885687215,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,144,True,3,31,29,0.6518353726362626,-0.02313640479941336,-0.021153584640268057,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,24,True,3,68,58,0.5621196754563894,-0.0124550555638697,-0.009333608286790588,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,48,True,3,65,61,0.7006305170239596,-0.018866948534839705,-0.0018892199607655328,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,72,True,3,28,32,0.5072544642857143,-0.016443912113045064,-0.02044238936441949,True,True,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,96,True,3,28,32,0.6060267857142857,-0.006299247367745794,0.009137582621978734,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,120,True,3,34,25,0.6041176470588235,0.025485203221419655,0.03212335216965009,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,144,True,3,32,28,0.5814732142857143,-0.02291523900834931,-0.021817082013460207,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,24,True,3,30,15,0.6622222222222223,0.017082233918164776,0.029339909590528703,True,True,True,True,True
