cohort,scope,score_bin,candidate_count,accepted_count,mean_score,mean_forward_20_bar_return,positive_forward_return_rate,spearman_score_forward_20
PRIMARY_LONG_HISTORY,ALL_CANDIDATES,ALL,4190,43,32.539847422895384,0.03635090822297027,0.5040572792362769,0.09455798202492117
PRIMARY_LONG_HISTORY,ALL_CANDIDATES,LT_50,3625,0,28.610365677092787,0.02622787880359348,0.49075862068965515,
PRIMARY_LONG_HISTORY,ALL_CANDIDATES,50_60,393,0,54.18309491913105,0.07953894217390767,0.549618320610687,
PRIMARY_LONG_HISTORY,ALL_CANDIDATES,60_70,142,27,63.964146246864686,0.13219711187033603,0.647887323943662,
PRIMARY_LONG_HISTORY,ALL_CANDIDATES,70_80,27,13,74.20670654783284,0.25466447702621847,0.8148148148148148,
PRIMARY_LONG_HISTORY,ALL_CANDIDATES,80_90,3,3,82.9796584685112,0.09341705214287954,1.0,
PRIMARY_LONG_HISTORY,ALL_CANDIDATES,90_100,0,0,,,,
PRIMARY_LONG_HISTORY,ALL_CANDIDATES,GT_100,0,0,,,,
PRIMARY_LONG_HISTORY,ACCEPTED,ALL,43,43,68.28568596863737,0.13015164128845574,0.6511627906976745,0.009966777408637875
PRIMARY_LONG_HISTORY,ACCEPTED,LT_50,0,0,,,,
PRIMARY_LONG_HISTORY,ACCEPTED,50_60,0,0,,,,
PRIMARY_LONG_HISTORY,ACCEPTED,60_70,27,27,64.03010281506414,0.06277528236958663,0.5555555555555556,
PRIMARY_LONG_HISTORY,ACCEPTED,70_80,13,13,73.73328809531853,0.2785643688458553,0.7692307692307693,
PRIMARY_LONG_HISTORY,ACCEPTED,80_90,3,3,82.9796584685112,0.09341705214287954,1.0,
PRIMARY_LONG_HISTORY,ACCEPTED,90_100,0,0,,,,
PRIMARY_LONG_HISTORY,ACCEPTED,GT_100,0,0,,,,
TRANSFER_COHORT,ALL_CANDIDATES,ALL,3452,35,35.0636193037981,0.03883271950317544,0.4860950173812283,0.0351245961423278
TRANSFER_COHORT,ALL_CANDIDATES,LT_50,2869,0,30.38329461263354,0.03070727283306812,0.4771697455559428,
TRANSFER_COHORT,ALL_CANDIDATES,50_60,389,0,54.289160029122726,0.08233301716879862,0.5424164524421594,
TRANSFER_COHORT,ALL_CANDIDATES,60_70,161,21,63.90935811933262,0.07216942268765959,0.5217391304347826,
TRANSFER_COHORT,ALL_CANDIDATES,70_80,29,10,73.37058091116708,0.06273835092485837,0.3793103448275862,
TRANSFER_COHORT,ALL_CANDIDATES,80_90,4,4,83.57620952506149,0.028686330614442243,0.75,
TRANSFER_COHORT,ALL_CANDIDATES,90_100,0,0,,,,
TRANSFER_COHORT,ALL_CANDIDATES,GT_100,0,0,,,,
TRANSFER_COHORT,ACCEPTED,ALL,35,35,69.88409020079591,0.015438329012121464,0.4857142857142857,-0.130812324929972
TRANSFER_COHORT,ACCEPTED,LT_50,0,0,,,,
TRANSFER_COHORT,ACCEPTED,50_60,0,0,,,,
TRANSFER_COHORT,ACCEPTED,60_70,21,21,65.71427745936568,0.03393643857816503,0.5238095238095238,
TRANSFER_COHORT,ACCEPTED,70_80,10,10,73.16384922809324,-0.028706901717498325,0.3,
TRANSFER_COHORT,ACCEPTED,80_90,4,4,83.57620952506149,0.028686330614442243,0.75,
TRANSFER_COHORT,ACCEPTED,90_100,0,0,,,,
TRANSFER_COHORT,ACCEPTED,GT_100,0,0,,,,
