cohort,exit_reason,trade_count,winner_count,win_rate,net_pnl,average_pnl,median_pnl,best_trade,worst_trade,largest_winner,net_pnl_excluding_largest_winner
PRIMARY_LONG_HISTORY,COMBINED_HEALTH_FAILURE,1,0,0.0,-761.0301198469298,-761.0301198469298,-761.0301198469298,-761.0301198469298,-761.0301198469298,0.0,-761.0301198469298
PRIMARY_LONG_HISTORY,INITIAL_PROTECTIVE_STOP,15,0,0.0,-43951.34829073571,-2930.0898860490474,-3072.827800161369,-1114.4033831493302,-3469.4888979252405,0.0,-43951.34829073571
PRIMARY_LONG_HISTORY,PROFIT_PROTECTION_FLOOR,20,20,1.0,210655.60728538554,10532.780364269278,5631.92838398578,56283.14832553125,1283.8549141912436,56283.14832553125,154372.4589598543
PRIMARY_LONG_HISTORY,THESIS_HEALTH_CONFIRMED_DETERIORATION,6,1,0.16666666666666666,83473.90874142497,13912.318123570827,-1431.3397844670067,91532.00562876316,-2496.829286641516,91532.00562876316,-8058.0968873381935
PRIMARY_LONG_HISTORY,forced_end_of_period_exit,1,1,1.0,20795.34597583421,20795.34597583421,20795.34597583421,20795.34597583421,20795.34597583421,20795.34597583421,0.0
TRANSFER_COHORT,COMBINED_HEALTH_FAILURE,1,0,0.0,-733.1976032806623,-733.1976032806623,-733.1976032806623,-733.1976032806623,-733.1976032806623,0.0,-733.1976032806623
TRANSFER_COHORT,INITIAL_PROTECTIVE_STOP,20,0,0.0,-22693.84206343107,-1134.6921031715535,-1106.588597343128,-1017.9575509236422,-1309.9621086513675,0.0,-22693.84206343107
TRANSFER_COHORT,PROFIT_PROTECTION_FLOOR,9,9,1.0,43589.56746108762,4843.28527345418,3281.045298367196,15070.148529941844,459.4882510117714,15070.148529941844,28519.41893114578
TRANSFER_COHORT,THESIS_HEALTH_CONFIRMED_DETERIORATION,4,0,0.0,-2277.273893439692,-569.318473359923,-516.1846888175396,-336.28010280896143,-908.6244129956516,0.0,-2277.273893439692
TRANSFER_COHORT,forced_end_of_period_exit,1,1,1.0,7567.661566381947,7567.661566381947,7567.661566381947,7567.661566381947,7567.661566381947,7567.661566381947,0.0
