cohort,market_regime,bar_count,mean_exposure,median_exposure,time_in_cash,bull_participation_pass
PRIMARY_LONG_HISTORY,BEAR,459,0.010216281873584402,0.0,0.9897837181264156,
PRIMARY_LONG_HISTORY,BULL,1090,0.24061554955429032,0.2361275679277961,0.7593844504457097,False
PRIMARY_LONG_HISTORY,SIDEWAYS_TRANSITION,258,0.060518675136170735,0.0,0.9394813248638293,
TRANSFER_COHORT,BEAR,10,0.13671274632115704,0.07696476818426048,0.863287253678843,
TRANSFER_COHORT,BULL,623,0.2051314784153048,0.2387255907162293,0.7948685215846952,False
TRANSFER_COHORT,SIDEWAYS_TRANSITION,96,0.05742719663618514,0.0,0.9425728033638149,
