cohort,rejection_reason,market_regime,candidate_count,mean_forward_5,mean_forward_10,mean_forward_20,mean_forward_30,positive_forward_20_rate,forward_20_gt_20pct_count,forward_20_gt_50pct_count
PRIMARY_LONG_HISTORY,breakout_floor_failure,BULL,88,0.04778523248204736,0.10758046710553462,0.18392111210742249,0.21924394021735288,0.7159090909090909,39,12
PRIMARY_LONG_HISTORY,breakout_floor_failure,SIDEWAYS_TRANSITION,1,0.0151299816426837,0.0332578314679929,0.0481805530881742,0.2614548173150943,1.0,0,0
PRIMARY_LONG_HISTORY,entry_score_below_threshold,BEAR,1652,0.0012910532289322932,0.004344175841333,0.009973513258263018,0.02979743203056723,0.463680387409201,270,25
PRIMARY_LONG_HISTORY,entry_score_below_threshold,BULL,1594,0.006374470764612288,0.018080756446572626,0.06043280576746401,0.10927299003711728,0.5374280230326296,310,72
PRIMARY_LONG_HISTORY,entry_score_below_threshold,SIDEWAYS_TRANSITION,631,0.007654864698337738,0.01131065332258916,0.01874191631716123,0.02367569125133291,0.48811410459587956,74,25
PRIMARY_LONG_HISTORY,hard_gate_failure,BEAR,77,0.0171552877597474,0.02290705847321431,0.10593757695888151,0.13125613414076315,0.7792207792207793,23,0
PRIMARY_LONG_HISTORY,hard_gate_failure,BULL,23,-0.03272144775219239,-0.05523667569758797,-0.07979659908650852,-0.0242948285692959,0.34782608695652173,7,1
PRIMARY_LONG_HISTORY,hard_gate_failure,SIDEWAYS_TRANSITION,41,0.03693085705265638,0.00827372796391414,-0.09330475079416077,-0.17961491868031995,0.3170731707317073,0,0
PRIMARY_LONG_HISTORY,portfolio_slot_unavailable,BULL,26,0.07592419356001523,0.09637595837471177,0.1282490520880429,0.17574522799779024,0.6923076923076923,9,1
PRIMARY_LONG_HISTORY,portfolio_slot_unavailable,SIDEWAYS_TRANSITION,1,0.0487050346141513,0.1279308848772944,0.1356837002244733,-0.0605700488559409,1.0,0,0
PRIMARY_LONG_HISTORY,risk_floor_failure,BULL,7,0.07460564177330191,0.07306929654440217,0.022019654583721793,-0.024508680077453104,0.42857142857142855,1,0
PRIMARY_LONG_HISTORY,risk_floor_failure,SIDEWAYS_TRANSITION,1,-0.0149170549415378,0.3654280709980313,0.385397495668027,0.2072388754979486,1.0,1,0
PRIMARY_LONG_HISTORY,simultaneous_signal_slot_limit,BULL,4,0.0002975801350322514,-0.06361207318048505,0.028922789138052907,0.08732283736492218,0.5,2,0
PRIMARY_LONG_HISTORY,simultaneous_signal_slot_limit,SIDEWAYS_TRANSITION,1,-0.0038974474728665,-0.0667042868160187,-0.0269623610405734,0.1020709892218272,0.0,0,0
TRANSFER_COHORT,breakout_floor_failure,BULL,89,0.024651241803561482,0.037105961989221045,0.05166393459124064,0.08285153414619581,0.5168539325842697,24,1
TRANSFER_COHORT,entry_score_below_threshold,BEAR,511,0.006186517067292874,0.016792070071171155,0.04198227713390486,0.06362543407158268,0.49706457925636005,96,11
TRANSFER_COHORT,entry_score_below_threshold,BULL,2159,0.0035843669166264326,0.0124419919329727,0.04117031250674676,0.0720330979735059,0.49402199904351984,314,93
TRANSFER_COHORT,entry_score_below_threshold,SIDEWAYS_TRANSITION,584,0.016373231366452936,0.028503566253196635,0.015756263137292243,0.006455265825610059,0.5,52,0
TRANSFER_COHORT,hard_gate_failure,BULL,4,0.02857083815154215,0.1491274179983179,0.9982653490328006,1.415948275862069,1.0,1,1
TRANSFER_COHORT,portfolio_slot_unavailable,BULL,48,0.05326099336112481,0.0769893641223659,0.1473930454929742,0.166855309186643,0.5416666666666666,19,6
TRANSFER_COHORT,portfolio_slot_unavailable,SIDEWAYS_TRANSITION,3,-0.07936035617999147,-0.12831356066193422,-0.3007438631905884,-0.2744868317050369,0.0,0,0
TRANSFER_COHORT,risk_floor_failure,BULL,7,0.13430712692380428,0.24118140235125046,0.39464951637564155,0.5237691512223372,1.0,4,2
TRANSFER_COHORT,simultaneous_signal_slot_limit,BULL,12,-0.051078422444085225,-0.08108999253498568,-0.043348195897775076,-0.0391789435539262,0.16666666666666666,1,0
