cohort,trade_id,symbol,entry_timestamp,exit_timestamp,exit_reason,net_pnl,audit_status
PRIMARY_LONG_HISTORY,TRADE-000026,ETH/USDT,2023-10-03T00:00:00+00:00,2023-10-03T00:00:00+00:00,INITIAL_PROTECTIVE_STOP,-2968.8603254261398,REQUIRES_INTRABAR_PATH_ASSUMPTION_REVIEW
TRANSFER_COHORT,TRADE-000001,BTC/USDT,2022-09-14T00:00:00+00:00,2022-09-14T00:00:00+00:00,INITIAL_PROTECTIVE_STOP,-1031.645420388358,REQUIRES_INTRABAR_PATH_ASSUMPTION_REVIEW
TRANSFER_COHORT,TRADE-000016,ETH/USDT,2023-10-03T00:00:00+00:00,2023-10-03T00:00:00+00:00,INITIAL_PROTECTIVE_STOP,-1062.547195441969,REQUIRES_INTRABAR_PATH_ASSUMPTION_REVIEW
