metric,observation_count,minimum,p25,median,mean,p75,maximum
return24_rank_pct_q,357634,0.1,0.3,0.5714285714285714,0.5662702651313913,0.8,1.0
return72_rank_pct_q,357154,0.1,0.3,0.5714285714285714,0.5662921316854914,0.8,1.0
market_breadth_q,357874,0.0,0.26666666666666666,0.5,0.4934269230697582,0.7222222222222222,1.0
breadth_1h_q,357874,0.0,0.1,0.5,0.5021152696200338,0.9,1.0
breadth_impulse6_q,357862,-1.0,-0.19999999999999996,0.0,-7.238757371490124e-05,0.19999999999999996,1.0
volume_ratio20_q,357874,0.0,0.685304199909875,0.9926534916681752,1.3324443625152933,1.4949765998975995,102.3305750986891
volume_breadth_q,357874,0.0,0.1,0.2,0.29573732654509693,0.5,1.0
previous_volume_breadth_q,357872,0.0,0.1,0.2,0.2957417735950284,0.5,1.0
dispersion24_q,357826,6.201945801920239e-07,0.012917770568606267,0.018906129498935796,0.023134458512592517,0.028227505481804555,0.21739387352790326
previous_dispersion24_q,357824,6.201945801920239e-07,0.012917766823451244,0.01890548277080138,0.023134252525110203,0.028227505481804555,0.21739387352790326
prior_dispersion_q75_200_q,357586,0.0027127967735782466,0.01995360066003502,0.025507973797381272,0.028554349347127313,0.0341218743426254,0.12187951082804903
previous_prior_dispersion_q75_200_q,357584,0.0027127967735782466,0.019955136977803996,0.025507973797381272,0.028554616219821156,0.0341218743426254,0.12187951082804903
market_return24_q,357826,-0.4710721785714786,-0.018197973167549047,0.0021275712930451827,0.0018012371354225508,0.02298382006545674,0.35200970642690765
btc_alt_gap24_q,357826,-0.25127658341391973,-0.012233389809256763,0.0004786531273328759,-0.0003493529827452518,0.012686379970984443,0.2257680920322091
previous_btc_alt_gap24_q,357824,-0.25127658341391973,-0.012233878678782815,0.00047840468381821905,-0.0003495814656034307,0.012686379970984443,0.2257680920322091
average_corr72_q,357778,0.10657022141098581,0.6234462171566588,0.7101586474984187,0.699316774750904,0.7855113581402353,0.9769923446278937
previous_average_corr72_q,357776,0.10657022141098581,0.6234462171566588,0.7101413830345833,0.6993121587999681,0.7855104693027871,0.9769923446278937
ema20_distance_atr_q,357874,-6.8060316352129195,-0.7707306036333356,0.006076607120850634,0.02874290386302251,0.8029175862652624,8.948783524504906
