scope,domain_id,symbol,canonical_id,core_asset,liquidity_rank,liquidity_tier,trade_count,net_pnl,return_on_initial_equity,win_rate,profit_factor
OVERLAY_NEW,BTC_TO_ALT_ROTATION_BREAKOUT,AVAX/USDT,AVAX,True,6,A,3,-1474.858154251136,-0.01474858154251136,0.3333333333333333,0.07671105949686245
OVERLAY_NEW,BTC_TO_ALT_ROTATION_BREAKOUT,ETH/USDT,ETH,True,2,A,1,109.73203710810427,0.0010973203710810426,1.0,
OVERLAY_NEW,BTC_TO_ALT_ROTATION_BREAKOUT,LINK/USDT,LINK,True,9,B,5,-1695.756157977945,-0.01695756157977945,0.4,0.30966230240192105
OVERLAY_NEW,BTC_TO_ALT_ROTATION_BREAKOUT,LTC/USDT,LTC,False,8,B,6,-407.2027976301779,-0.004072027976301779,0.3333333333333333,0.8476609925023785
OVERLAY_NEW,BTC_TO_ALT_ROTATION_BREAKOUT,NEAR/USDT,NEAR,True,5,A,1,-800.0685863710279,-0.008000685863710279,0.0,0.0
OVERLAY_NEW,BTC_TO_ALT_ROTATION_BREAKOUT,SOL/USDT,SOL,True,3,A,2,-1607.7108963666406,-0.016077108963666407,0.0,0.0
OVERLAY_NEW,BTC_TO_ALT_ROTATION_BREAKOUT,XRP/USDT,XRP,False,4,A,1,20367.509560736933,0.20367509560736932,1.0,
STANDALONE,DISPERSION_EXPANSION_LEADER,ADA/USDT,ADA,False,7,B,26,1309.6154043734336,0.013096154043734336,0.34615384615384615,1.095637448493548
STANDALONE,DISPERSION_EXPANSION_LEADER,ATOM/USDT,ATOM,False,10,B,33,2370.1309137314547,0.023701309137314545,0.21212121212121213,1.1157477889877425
STANDALONE,DISPERSION_EXPANSION_LEADER,AVAX/USDT,AVAX,True,6,A,21,-3322.1936179756767,-0.033221936179756766,0.5238095238095238,0.574557168786845
STANDALONE,DISPERSION_EXPANSION_LEADER,BTC/USDT,BTC,True,1,A,17,18418.634685668443,0.18418634685668442,0.5294117647058824,3.6411801139920064
STANDALONE,DISPERSION_EXPANSION_LEADER,ETH/USDT,ETH,True,2,A,35,-10298.517476222392,-0.10298517476222392,0.34285714285714286,0.46908227901787664
STANDALONE,DISPERSION_EXPANSION_LEADER,LINK/USDT,LINK,True,9,B,14,20913.826941967323,0.20913826941967323,0.5,4.660889374299405
STANDALONE,DISPERSION_EXPANSION_LEADER,LTC/USDT,LTC,False,8,B,24,-6784.755627520388,-0.06784755627520388,0.4583333333333333,0.3448811012191286
STANDALONE,DISPERSION_EXPANSION_LEADER,NEAR/USDT,NEAR,True,5,A,16,-7174.446999713784,-0.07174446999713784,0.3125,0.13696633881776887
STANDALONE,DISPERSION_EXPANSION_LEADER,SOL/USDT,SOL,True,3,A,14,-3918.6312196223244,-0.03918631219622325,0.5,0.32837723078098613
STANDALONE,DISPERSION_EXPANSION_LEADER,XRP/USDT,XRP,False,4,A,28,-5013.2616685404155,-0.050132616685404155,0.35714285714285715,0.6441810451138437
OVERLAY_NEW,DISPERSION_EXPANSION_LEADER,ADA/USDT,ADA,False,7,B,25,2156.3750351761723,0.021563750351761724,0.36,1.1678533189578846
OVERLAY_NEW,DISPERSION_EXPANSION_LEADER,ATOM/USDT,ATOM,False,10,B,30,4756.602963134817,0.04756602963134817,0.23333333333333334,1.2629379325243624
