scope,variant_id,period,start_equity,end_equity,return,trade_count
STANDALONE,VOLUME_BREADTH_THRUST,2024,153291.63394013338,122166.50562193381,-0.2030451859516038,180
STANDALONE,VOLUME_BREADTH_THRUST,2025,122166.50562193381,122166.50562193381,0.0,0
OVERLAY,VOLUME_BREADTH_THRUST,2019,100000.0,95490.52571550729,-0.045094742844927094,15
OVERLAY,VOLUME_BREADTH_THRUST,2020,95490.52571550729,141958.26320501496,0.48662144376446226,153
OVERLAY,VOLUME_BREADTH_THRUST,2021,141958.26320501496,166046.65136765095,0.1696864107716487,219
OVERLAY,VOLUME_BREADTH_THRUST,2022,166046.65136765095,157824.67121792698,-0.04951608528087281,36
OVERLAY,VOLUME_BREADTH_THRUST,2023,157824.67121792698,187286.97840700488,0.18667745012055725,186
OVERLAY,VOLUME_BREADTH_THRUST,2024,187286.97840700488,179629.82459091578,-0.04088460330354016,292
OVERLAY,VOLUME_BREADTH_THRUST,2025,179629.82459091578,179629.82459091578,0.0,0
STANDALONE,CORRELATION_RELEASE_ROTATION,2019,100000.0,100000.0,0.0,0
STANDALONE,CORRELATION_RELEASE_ROTATION,2020,100000.0,99173.03691269965,-0.008269630873003475,1
STANDALONE,CORRELATION_RELEASE_ROTATION,2021,99173.03691269965,99173.03691269965,0.0,0
STANDALONE,CORRELATION_RELEASE_ROTATION,2022,99173.03691269965,99173.03691269965,0.0,0
STANDALONE,CORRELATION_RELEASE_ROTATION,2023,99173.03691269965,99173.03691269965,0.0,0
STANDALONE,CORRELATION_RELEASE_ROTATION,2024,99173.03691269965,99173.03691269965,0.0,0
STANDALONE,CORRELATION_RELEASE_ROTATION,2025,99173.03691269965,99173.03691269965,0.0,0
OVERLAY,CORRELATION_RELEASE_ROTATION,2019,100000.0,95490.52571550729,-0.045094742844927094,15
OVERLAY,CORRELATION_RELEASE_ROTATION,2020,95490.52571550729,142031.29748814326,0.4873862765327506,119
OVERLAY,CORRELATION_RELEASE_ROTATION,2021,142031.29748814326,170790.26231134802,0.2024832929911491,133
OVERLAY,CORRELATION_RELEASE_ROTATION,2022,170790.26231134802,170402.48459071392,-0.0022704908077674224,17
OVERLAY,CORRELATION_RELEASE_ROTATION,2023,170402.48459071392,206530.5755948582,0.21201622201060966,104
OVERLAY,CORRELATION_RELEASE_ROTATION,2024,206530.5755948582,208155.8631402266,0.007869476665559816,179
OVERLAY,CORRELATION_RELEASE_ROTATION,2025,208155.8631402266,208155.8631402266,0.0,0
OVERLAY,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,2019,100000.0,96100.6521906655,-0.03899347809334508,19
OVERLAY,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,2020,96100.6521906655,159404.83916371068,0.6587279641708206,214
OVERLAY,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,2021,159404.83916371068,180112.9030220835,0.12990862741064846,323
OVERLAY,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,2022,180112.9030220835,173124.54604052278,-0.03879986866184648,45
OVERLAY,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,2023,173124.54604052278,201690.62983300939,0.16500308272750774,222
OVERLAY,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,2024,201690.62983300939,162987.90407803873,-0.19189154095564454,352
OVERLAY,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,2025,162987.90407803873,162987.90407803873,0.0,0
