scope,variant_id,router_decision,candidate_count,hypothetical_net_pnl,hypothetical_return_on_initial_equity,hypothetical_profit_factor
STANDALONE,BREADTH_THRUST_LEADER_BREAKOUT,ADMITTED,497,2741.7663356543,0.027417663356543,1.011802737556167
STANDALONE,BREADTH_THRUST_LEADER_BREAKOUT,REJECTED_ENGINE_COOLDOWN,44,24809.418566603104,0.24809418566603103,2.3137705416462575
STANDALONE,BREADTH_THRUST_LEADER_BREAKOUT,REJECTED_MAX_OPEN_RISK,12,13316.923552940638,0.13316923552940638,3.6743733032546895
STANDALONE,BREADTH_THRUST_LEADER_BREAKOUT,REJECTED_SAME_SYMBOL_ACTIVE,76,53025.39502666424,0.5302539502666425,2.937445363809448
OVERLAY,BREADTH_THRUST_LEADER_BREAKOUT,ADMITTED,343,-40862.86643193908,-0.4086286643193908,0.7557906239025063
OVERLAY,BREADTH_THRUST_LEADER_BREAKOUT,REJECTED_ENGINE_COOLDOWN,20,-6678.229303819831,-0.06678229303819831,0.32570611752183254
OVERLAY,BREADTH_THRUST_LEADER_BREAKOUT,REJECTED_MAX_OPEN_RISK,46,56450.761069734785,0.5645076106973479,3.8956319858521526
OVERLAY,BREADTH_THRUST_LEADER_BREAKOUT,REJECTED_SAME_SYMBOL_OVERLAP,220,84983.83814788639,0.8498383814788639,1.9790185490807561
STANDALONE,BTC_TO_ALT_ROTATION_BREAKOUT,ADMITTED,33,11925.02375760587,0.1192502375760587,1.8083452774233595
STANDALONE,BTC_TO_ALT_ROTATION_BREAKOUT,REJECTED_ENGINE_COOLDOWN,1,-790.2891185768866,-0.007902891185768866,0.0
OVERLAY,BTC_TO_ALT_ROTATION_BREAKOUT,ADMITTED,26,12859.413556489952,0.12859413556489951,2.04366591893468
OVERLAY,BTC_TO_ALT_ROTATION_BREAKOUT,REJECTED_MAX_OPEN_RISK,4,666.9379306922909,0.006669379306922909,1.850988591995835
OVERLAY,BTC_TO_ALT_ROTATION_BREAKOUT,REJECTED_SAME_SYMBOL_OVERLAP,4,-2391.6168481532573,-0.023916168481532572,0.01885110777095951
STANDALONE,DISPERSION_EXPANSION_LEADER,ADMITTED,228,6500.4013361456655,0.06500401336145666,1.0577010677050804
STANDALONE,DISPERSION_EXPANSION_LEADER,REJECTED_ENGINE_COOLDOWN,17,23901.311867198594,0.23901311867198594,4.720996468988469
STANDALONE,DISPERSION_EXPANSION_LEADER,REJECTED_MAX_OPEN_RISK,1,690.4258038197655,0.006904258038197655,
STANDALONE,DISPERSION_EXPANSION_LEADER,REJECTED_SAME_SYMBOL_ACTIVE,17,8137.397978955246,0.08137397978955246,1.9312298728861303
OVERLAY,DISPERSION_EXPANSION_LEADER,ADMITTED,163,-23598.193699738615,-0.23598193699738615,0.7114005128683122
OVERLAY,DISPERSION_EXPANSION_LEADER,REJECTED_ENGINE_COOLDOWN,12,-2475.84867479739,-0.024758486747973898,0.488869570869564
OVERLAY,DISPERSION_EXPANSION_LEADER,REJECTED_MAX_OPEN_RISK,18,-1033.1953331304846,-0.010331953331304846,0.879737103279873
OVERLAY,DISPERSION_EXPANSION_LEADER,REJECTED_SAME_SYMBOL_OVERLAP,70,66336.77469378574,0.6633677469378575,3.0339196615719946
STANDALONE,VOLUME_BREADTH_THRUST,ADMITTED,505,22166.5056219338,0.221665056219338,1.0921118437977888
STANDALONE,VOLUME_BREADTH_THRUST,REJECTED_ENGINE_COOLDOWN,56,4777.505260961001,0.047775052609610014,1.1472688883004991
STANDALONE,VOLUME_BREADTH_THRUST,REJECTED_MAX_OPEN_RISK,17,20832.844205165995,0.20832844205165996,2.8996520645118093
STANDALONE,VOLUME_BREADTH_THRUST,REJECTED_SAME_SYMBOL_ACTIVE,81,-253.31469733686686,-0.0025331469733686687,0.9940604372199817
OVERLAY,VOLUME_BREADTH_THRUST,ADMITTED,334,-28526.03854931055,-0.2852603854931055,0.8259841171564637
OVERLAY,VOLUME_BREADTH_THRUST,REJECTED_ENGINE_COOLDOWN,30,16454.144266379615,0.16454144266379614,1.9028468747611638
OVERLAY,VOLUME_BREADTH_THRUST,REJECTED_MAX_OPEN_RISK,70,51926.76837376686,0.5192676837376686,2.5073151080383753
OVERLAY,VOLUME_BREADTH_THRUST,REJECTED_SAME_SYMBOL_OVERLAP,225,7668.666299887984,0.07668666299887984,1.0696509228297173
STANDALONE,CORRELATION_RELEASE_ROTATION,ADMITTED,1,-826.963087300351,-0.00826963087300351,0.0
OVERLAY,CORRELATION_RELEASE_ROTATION,REJECTED_SAME_SYMBOL_OVERLAP,1,-826.963087300351,-0.00826963087300351,0.0
OVERLAY,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,ADMITTED,608,-45167.959062187685,-0.45167959062187685,0.8455235057759272
OVERLAY,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,REJECTED_ENGINE_COOLDOWN,35,-13901.357391897482,-0.13901357391897481,0.26536728855557606
OVERLAY,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,REJECTED_MAX_OPEN_RISK,150,106791.69470965248,1.0679169470965248,2.6035884532383324
OVERLAY,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,REJECTED_SAME_SYMBOL_OVERLAP,793,143231.97415486677,1.4323197415486677,1.3804190021338247
