evaluation_type,universe_id,period_id,cost_multiplier,trigger_support_pass,all_triggered_fills_available,total_delta_1x,total_delta_2x,loao_total_delta_1x,loao_total_delta_2x,qualified_universe,positive_supported_universe_count,qualified_period_cost
OVERALL_UNIVERSE,C2,ALL_2022_2023,BOTH_1X_2X,True,True,-24371.709803429265,-22558.70490225123,-29708.448935579752,-27868.006634315923,False,,
OVERALL_UNIVERSE,D2,ALL_2022_2023,BOTH_1X_2X,True,True,-47152.755627122046,-44133.26412623687,-52489.49475927252,-49442.56585830157,False,,
OVERALL_UNIVERSE,E2,ALL_2022_2023,BOTH_1X_2X,True,True,-33645.244774436236,-31286.04128218203,-40031.39609434803,-37418.80759052464,False,,
PERIOD_COST_2_OF_3,C2|D2|E2,ROBUSTNESS_2022,1.0,True,True,,,,,,3.0,True
PERIOD_COST_2_OF_3,C2|D2|E2,ROBUSTNESS_2022,2.0,True,True,,,,,,3.0,True
PERIOD_COST_2_OF_3,C2|D2|E2,ROBUSTNESS_2023,1.0,True,True,,,,,,0.0,False
PERIOD_COST_2_OF_3,C2|D2|E2,ROBUSTNESS_2023,2.0,True,True,,,,,,0.0,False
