universe_id,cost_multiplier,period_id,control_trade_count,control_net_pnl,pair_count
C2,1.0,ROBUSTNESS_2022,45,-13994.924720618568,8
C2,1.0,ROBUSTNESS_2023,124,34493.83417276342,12
C2,2.0,ROBUSTNESS_2022,45,-15661.21679979741,8
C2,2.0,ROBUSTNESS_2023,124,27689.69871407565,12
D2,1.0,ROBUSTNESS_2022,45,-13994.924720618568,8
D2,1.0,ROBUSTNESS_2023,127,57440.199693174814,12
D2,2.0,ROBUSTNESS_2022,45,-15661.21679979741,8
D2,2.0,ROBUSTNESS_2023,127,49219.50291574712,12
E2,1.0,ROBUSTNESS_2022,45,-13994.924720618568,8
E2,1.0,ROBUSTNESS_2023,126,43814.00539705993,14
E2,2.0,ROBUSTNESS_2022,45,-15661.21679979741,8
E2,2.0,ROBUSTNESS_2023,126,36402.82707774959,14
