variant_id,universe_id,cost_multiplier,control_trade_count,evaluable_trade_count,unevaluable_triggered_trade_count,triggered_trade_count,triggered_trade_share,total_control_net_pnl,total_shadow_net_pnl,total_delta_net_pnl,mean_triggered_delta_net_pnl,median_triggered_delta_net_pnl,positive_triggered_delta_share,p10_triggered_delta_net_pnl,loss_pool_reduction,positive_pnl_pool_change,largest_single_trade_delta_share_of_positive_delta_pool,minimum_leave_one_asset_out_total_delta_net_pnl
CONTROL_NO_RD37_EXIT,C2,1.0,169,169,0,0,0.0,20498.909452144846,20498.909452144846,0.0,,,,,0.0,0.0,,0.0
RD37_DOWNSIDE_STRESS_SHADOW,C2,1.0,169,169,0,162,0.9585798816568047,20498.909452144846,14623.247721531483,-5875.661730613359,-36.269516855638024,316.2577558034173,0.6666666666666666,-1768.974566645492,62637.757392341526,-68513.4191229549,0.060338201738425114,-11108.154335016734
RD37_SELL_FLOW_IMPULSE_SHADOW,C2,1.0,169,169,0,169,1.0,20498.909452144846,-7573.060246169947,-28071.969698314795,-166.1063295758272,219.48461462484312,0.6331360946745562,-2078.3648078141546,63767.409129007705,-91839.37882732251,0.05390268855808166,-33408.70883046528
RD37_FAILED_RECOVERY_SHADOW,C2,1.0,169,169,0,169,1.0,20498.909452144846,17901.59142990484,-2597.318022240006,-15.368745693727845,289.631844064666,0.6804733727810651,-1922.0669500312392,65761.45501397274,-68358.77303621275,0.045276317243060915,-9175.562371961232
RD37_QUALIFIED_STRESS_UNION_SHADOW,C2,1.0,169,169,0,169,1.0,20498.909452144846,-3872.8003512844225,-24371.709803429265,-144.21130061200748,284.3858636665632,0.6331360946745562,-2078.3648078141546,66321.21461291012,-90692.9244163394,0.05235291591658639,-29708.448935579752
CONTROL_NO_RD37_EXIT,C2,2.0,169,169,0,0,0.0,12028.481914278238,12028.481914278238,0.0,,,,,0.0,0.0,,0.0
RD37_DOWNSIDE_STRESS_SHADOW,C2,2.0,169,169,0,162,0.9585798816568047,12028.481914278238,7321.551292262001,-4706.930622016236,-29.05512729639654,305.6320733510147,0.6666666666666666,-1755.6587343955057,61308.78023541867,-66015.7108574349,0.061946218573882036,-9809.334595586788
RD37_SELL_FLOW_IMPULSE_SHADOW,C2,2.0,169,169,0,169,1.0,12028.481914278238,-14059.34302901668,-26087.824943294923,-154.36582806683387,205.6884180505567,0.6331360946745562,-1960.281046488164,61474.889891206076,-87562.71483450098,0.0553575958320985,-31397.126675359614
RD37_FAILED_RECOVERY_SHADOW,C2,2.0,169,169,0,169,1.0,12028.481914278238,10366.786382313534,-1661.6955319647059,-9.832517940619562,280.2626549267062,0.6804733727810651,-1892.9709082407908,64790.14147844259,-66451.83701040727,0.04653241683754325,-7969.772039728348
RD37_QUALIFIED_STRESS_UNION_SHADOW,C2,2.0,169,169,0,169,1.0,12028.481914278238,-10530.222987972982,-22558.70490225123,-133.48346096006645,280.2184896889123,0.6331360946745562,-1960.281046488164,64117.86518406843,-86676.57008631964,0.053790889612965125,-27868.006634315923
CONTROL_NO_RD37_EXIT,D2,1.0,172,172,0,0,0.0,43445.27497255623,43445.27497255623,0.0,,,,,0.0,0.0,,0.0
RD37_DOWNSIDE_STRESS_SHADOW,D2,1.0,172,172,0,165,0.9593023255813954,43445.27497255623,15744.348070790293,-27700.926901765943,-167.8844054652482,295.05280182732787,0.6727272727272727,-2182.382638008086,61237.15225112826,-88938.0791528942,0.062459199524656235,-33363.63032218866
RD37_SELL_FLOW_IMPULSE_SHADOW,D2,1.0,172,172,0,172,1.0,43445.27497255623,-7569.537474120119,-51014.81244667636,-296.5977467830021,226.14368453270967,0.622093023255814,-2673.824479793782,63066.537848254724,-114081.35029493108,0.05353986343398385,-56351.55157882684
RD37_FAILED_RECOVERY_SHADOW,D2,1.0,172,172,0,172,1.0,43445.27497255623,16834.002082509334,-26611.27289004691,-154.71670284910994,282.0624263170398,0.6744186046511628,-2634.3273638473934,63912.55747395693,-90523.83036400384,0.04551970559225525,-34185.0468222441
RD37_QUALIFIED_STRESS_UNION_SHADOW,D2,1.0,172,172,0,172,1.0,43445.27497255623,-3707.480654565803,-47152.755627122046,-274.14392806466304,280.50784489094497,0.627906976744186,-2673.824479793782,65541.14331207311,-112693.89893919515,0.052102838164124504,-52489.49475927252
