variant_id,universe_id,cost_multiplier,control_trade_count,evaluable_trade_count,unevaluable_triggered_trade_count,triggered_trade_count,triggered_trade_share,total_control_net_pnl,total_shadow_net_pnl,total_delta_net_pnl,mean_triggered_delta_net_pnl,median_triggered_delta_net_pnl,positive_triggered_delta_share,p10_triggered_delta_net_pnl,loss_pool_reduction,positive_pnl_pool_change,largest_single_trade_delta_share_of_positive_delta_pool,minimum_leave_one_asset_out_total_delta_net_pnl
CONTROL_NO_RD37_EXIT,D2,2.0,172,172,0,0,0.0,33558.286115949704,33558.286115949704,0.0,,,,,0.0,0.0,,0.0
RD37_DOWNSIDE_STRESS_SHADOW,D2,2.0,172,172,0,165,0.9593023255813954,33558.286115949704,8259.650910329088,-25298.635205620616,-153.32506185224614,282.44811757178496,0.6727272727272727,-2071.653889519176,59927.991345982984,-85226.62655160361,0.06401139883096582,-30770.14902376407
RD37_SELL_FLOW_IMPULSE_SHADOW,D2,2.0,172,172,0,172,1.0,33558.286115949704,-14261.306627978414,-47819.592743928115,-278.0208880460937,223.52256573082764,0.622093023255814,-2508.8132786697665,60756.241055754326,-108575.83379968246,0.05496989354924403,-53128.89447599281
RD37_FAILED_RECOVERY_SHADOW,D2,2.0,172,172,0,172,1.0,33558.286115949704,9197.677303917206,-24360.6088120325,-141.6314465815843,279.8036836405,0.6744186046511628,-2477.6684464721025,63131.407768890786,-87492.01658092329,0.04674867892655847,-31656.369872058498
RD37_QUALIFIED_STRESS_UNION_SHADOW,D2,2.0,172,172,0,172,1.0,33558.286115949704,-10574.97801028716,-44133.26412623687,-256.5887449199818,274.2883892841414,0.627906976744186,-2508.8132786697665,63354.677625497134,-107487.941751734,0.053513314415489545,-49442.56585830157
CONTROL_NO_RD37_EXIT,E2,1.0,171,171,0,0,0.0,29819.08067644137,29819.08067644137,0.0,,,,,0.0,0.0,,0.0
RD37_DOWNSIDE_STRESS_SHADOW,E2,1.0,171,171,0,164,0.9590643274853801,29819.08067644137,15314.653436187375,-14504.427240253986,-88.44162951374385,300.95508068987726,0.6646341463414634,-2071.015708357839,64902.96969124485,-79407.39693149885,0.059311589073130055,-21617.80014652378
RD37_SELL_FLOW_IMPULSE_SHADOW,E2,1.0,171,171,0,171,1.0,29819.08067644137,-7418.860734594507,-37237.94141103587,-217.7657392458238,225.4857958635298,0.631578947368421,-2512.3508343798558,65749.11727807876,-102987.05868911464,0.05227660742572301,-43135.3083173892
RD37_FAILED_RECOVERY_SHADOW,E2,1.0,171,171,0,171,1.0,29819.08067644137,17142.616179438304,-12676.464497003059,-74.13137132750326,289.631844064666,0.6783625730994152,-2397.370275640803,67742.69743302719,-80419.16193003027,0.044765434767532364,-21512.359006619547
RD37_QUALIFIED_STRESS_UNION_SHADOW,E2,1.0,171,171,0,171,1.0,29819.08067644137,-3826.1640979948797,-33645.244774436236,-196.75581739436396,297.70352376962256,0.631578947368421,-2512.3508343798558,68174.89976097703,-101820.14453541327,0.05079193290966983,-40031.39609434803
CONTROL_NO_RD37_EXIT,E2,2.0,171,171,0,0,0.0,20741.610277952197,20741.610277952197,0.0,,,,,0.0,0.0,,0.0
RD37_DOWNSIDE_STRESS_SHADOW,E2,2.0,171,171,0,164,0.9590643274853801,20741.610277952197,7950.498063356251,-12791.112214595945,-77.99458667436554,292.85139103433,0.6646341463414634,-1949.0616836558213,63406.13404168897,-76197.24625628493,0.06088293130171521,-19618.334742652507
RD37_SELL_FLOW_IMPULSE_SHADOW,E2,2.0,171,171,0,171,1.0,20741.610277952197,-13973.797249570078,-34715.40752752228,-203.01407910831742,222.18154006861525,0.631578947368421,-2431.5493173916334,63375.15170393852,-98090.55923146081,0.05368141784944819,-40371.46790862628
RD37_FAILED_RECOVERY_SHADOW,E2,2.0,171,171,0,171,1.0,20741.610277952197,9578.900183332276,-11162.71009461992,-65.27900640128608,280.2626549267062,0.6783625730994152,-2292.294505356597,66697.0412273634,-77859.75132198332,0.045994717195659854,-19635.875182807744
RD37_QUALIFIED_STRESS_UNION_SHADOW,E2,2.0,171,171,0,171,1.0,20741.610277952197,-10544.43100422983,-31286.04128218203,-182.95930574375456,283.32063237414195,0.631578947368421,-2431.5493173916334,65898.56742747172,-97184.60870965375,0.052181091500596896,-37418.80759052464
