variant_id,universe_id,cost_multiplier,period_id,control_trade_count,evaluable_trade_count,unevaluable_triggered_trade_count,triggered_trade_count,triggered_trade_share,total_control_net_pnl,total_shadow_net_pnl,total_delta_net_pnl,mean_triggered_delta_net_pnl,median_triggered_delta_net_pnl,positive_triggered_delta_share,p10_triggered_delta_net_pnl,loss_pool_reduction,positive_pnl_pool_change,largest_single_trade_delta_share_of_positive_delta_pool,minimum_leave_one_asset_out_total_delta_net_pnl
CONTROL_NO_RD37_EXIT,C2,1.0,ROBUSTNESS_2022,45,45,0,0,0.0,-13994.924720618568,-13994.924720618568,0.0,,,,,0.0,0.0,,0.0
RD37_DOWNSIDE_STRESS_SHADOW,C2,1.0,ROBUSTNESS_2022,45,45,0,43,0.9555555555555556,-13994.924720618568,5159.3423897156135,19154.26711033418,445.4480723333531,458.5335180918018,0.7674418604651163,-1345.5314444806527,22756.908178361904,-3602.6410680277168,0.16016812174381528,14014.76202664788
RD37_SELL_FLOW_IMPULSE_SHADOW,C2,1.0,ROBUSTNESS_2022,45,45,0,45,1.0,-13994.924720618568,-1993.0809416059408,12001.84377901263,266.707639533614,370.0139147300267,0.6888888888888889,-1679.6727075009953,22845.085474286323,-10843.24169527369,0.14889011202927266,6665.104646862149
RD37_FAILED_RECOVERY_SHADOW,C2,1.0,ROBUSTNESS_2022,45,45,0,45,1.0,-13994.924720618568,4576.312768970772,18571.237489589344,412.6941664353188,621.6229040209022,0.7777777777777778,-1684.0106992479532,24362.318232362166,-5791.08074277282,0.12211792499042502,13380.655960727781
RD37_QUALIFIED_STRESS_UNION_SHADOW,C2,1.0,ROBUSTNESS_2022,45,45,0,45,1.0,-13994.924720618568,-1308.8174401348406,12686.107280483731,281.9134951218607,370.0139147300267,0.6888888888888889,-1702.9384798073447,23177.498130443135,-10491.3908499594,0.14677947496029028,7349.368148333248
CONTROL_NO_RD37_EXIT,C2,1.0,ROBUSTNESS_2023,124,124,0,0,0.0,34493.83417276342,34493.83417276342,0.0,,,,,0.0,0.0,,0.0
RD37_DOWNSIDE_STRESS_SHADOW,C2,1.0,ROBUSTNESS_2023,124,124,0,119,0.9596774193548387,34493.83417276342,9463.905331815868,-25029.92884094755,-210.33553647855078,284.87889849101714,0.6302521008403361,-2055.5703230645154,39880.84921397962,-64910.77805492717,0.06415449441170006,-30262.421445350923
RD37_SELL_FLOW_IMPULSE_SHADOW,C2,1.0,ROBUSTNESS_2023,124,124,0,124,1.0,34493.83417276342,-5579.979304564006,-40073.813477327414,-323.1759151397372,174.7297157235428,0.6129032258064516,-2380.298940697032,40922.32365472138,-80996.13713204881,0.059631888870761963,-44958.28513172026
RD37_FAILED_RECOVERY_SHADOW,C2,1.0,ROBUSTNESS_2023,124,124,0,124,1.0,34493.83417276342,13325.27866093407,-21168.55551182935,-170.7141573534625,230.68142716425464,0.6451612903225806,-2399.1951747775947,41399.13678161056,-62567.69229343991,0.058426197630210765,-27746.79986155057
RD37_QUALIFIED_STRESS_UNION_SHADOW,C2,1.0,ROBUSTNESS_2023,124,124,0,124,1.0,34493.83417276342,-2563.9829111495824,-37057.817083912996,-298.8533635799435,235.16083402886582,0.6129032258064516,-2380.298940697032,43143.71648246699,-80201.53356637999,0.06493948030012671,-42327.44498750246
CONTROL_NO_RD37_EXIT,C2,2.0,ROBUSTNESS_2022,45,45,0,0,0.0,-15661.21679979741,-15661.21679979741,0.0,,,,,0.0,0.0,,0.0
RD37_DOWNSIDE_STRESS_SHADOW,C2,2.0,ROBUSTNESS_2022,45,45,0,43,0.9555555555555556,-15661.21679979741,3317.296133301418,18978.51293309883,441.36076588601935,451.81419447092514,0.7674418604651163,-1327.9480862963728,22859.842989992165,-3881.3300568933373,0.16053532594880718,13876.108959528281
RD37_SELL_FLOW_IMPULSE_SHADOW,C2,2.0,ROBUSTNESS_2022,45,45,0,45,1.0,-15661.21679979741,-3778.531843201903,11882.684956595507,264.0596657021224,363.11806529548306,0.6888888888888889,-1666.5044316004828,22690.009838797436,-10807.32488220193,0.1492932169070779,6573.383224530814
RD37_FAILED_RECOVERY_SHADOW,C2,2.0,ROBUSTNESS_2022,45,45,0,45,1.0,-15661.21679979741,2711.9374269023015,18373.154226699713,408.2923161488825,615.2494391291306,0.7777777777777778,-1671.5159954768349,24565.01251082394,-6191.858284124231,0.12251503210862254,13207.887729644297
RD37_QUALIFIED_STRESS_UNION_SHADOW,C2,2.0,ROBUSTNESS_2022,45,45,0,45,1.0,-15661.21679979741,-3099.3176314671664,12561.899168330243,279.1533148517832,363.11806529548306,0.6888888888888889,-1689.6652539643383,23059.92831251368,-10498.029144183438,0.14717683726748107,7252.59743626555
CONTROL_NO_RD37_EXIT,C2,2.0,ROBUSTNESS_2023,124,124,0,0,0.0,27689.69871407565,27689.69871407565,0.0,,,,,0.0,0.0,,0.0
RD37_DOWNSIDE_STRESS_SHADOW,C2,2.0,ROBUSTNESS_2023,124,124,0,119,0.9596774193548387,27689.69871407565,4004.2551589605814,-23685.443555115067,-199.03734079928626,265.7036316148258,0.6302521008403361,-1926.5231165709329,38448.93724542648,-62134.38080054156,0.06270851916951509,-28565.611151642664
RD37_SELL_FLOW_IMPULSE_SHADOW,C2,2.0,ROBUSTNESS_2023,124,124,0,124,1.0,27689.69871407565,-10280.811185814779,-37970.50989989042,-306.2137895152453,167.14333082768565,0.6129032258064516,-2253.6913340208807,38784.88005240862,-76755.38995229907,0.05825136085627053,-42525.34731494249
RD37_FAILED_RECOVERY_SHADOW,C2,2.0,ROBUSTNESS_2023,124,124,0,124,1.0,27689.69871407565,7654.84895541123,-20034.84975866442,-161.57136902148724,222.30998531145946,0.6451612903225806,-2281.7099445339395,40225.12896761862,-60259.97872628306,0.05715247034096181,-26342.926266428058
RD37_QUALIFIED_STRESS_UNION_SHADOW,C2,2.0,ROBUSTNESS_2023,124,124,0,124,1.0,27689.69871407565,-7430.905356505815,-35120.60407058147,-283.2306779885602,221.83144741095072,0.6129032258064516,-2253.6913340208807,41057.93687155473,-76178.54094213621,0.06346205489896901,-40034.40583522277
CONTROL_NO_RD37_EXIT,D2,1.0,ROBUSTNESS_2022,45,45,0,0,0.0,-13994.924720618568,-13994.924720618568,0.0,,,,,0.0,0.0,,0.0
RD37_DOWNSIDE_STRESS_SHADOW,D2,1.0,ROBUSTNESS_2022,45,45,0,43,0.9555555555555556,-13994.924720618568,5159.3423897156135,19154.26711033418,445.4480723333531,458.5335180918018,0.7674418604651163,-1345.5314444806527,22756.908178361904,-3602.6410680277168,0.16016812174381528,14014.76202664788
RD37_SELL_FLOW_IMPULSE_SHADOW,D2,1.0,ROBUSTNESS_2022,45,45,0,45,1.0,-13994.924720618568,-1993.0809416059408,12001.84377901263,266.707639533614,370.0139147300267,0.6888888888888889,-1679.6727075009953,22845.085474286323,-10843.24169527369,0.14889011202927266,6665.104646862149
RD37_FAILED_RECOVERY_SHADOW,D2,1.0,ROBUSTNESS_2022,45,45,0,45,1.0,-13994.924720618568,4576.312768970772,18571.237489589344,412.6941664353188,621.6229040209022,0.7777777777777778,-1684.0106992479532,24362.318232362166,-5791.08074277282,0.12211792499042502,13380.655960727781
RD37_QUALIFIED_STRESS_UNION_SHADOW,D2,1.0,ROBUSTNESS_2022,45,45,0,45,1.0,-13994.924720618568,-1308.8174401348406,12686.107280483731,281.9134951218607,370.0139147300267,0.6888888888888889,-1702.9384798073447,23177.498130443135,-10491.3908499594,0.14677947496029028,7349.368148333248
CONTROL_NO_RD37_EXIT,D2,1.0,ROBUSTNESS_2023,127,127,0,0,0.0,57440.199693174814,57440.199693174814,0.0,,,,,0.0,0.0,,0.0
RD37_DOWNSIDE_STRESS_SHADOW,D2,1.0,ROBUSTNESS_2023,127,127,0,122,0.9606299212598425,57440.199693174814,10585.005681074683,-46855.19401210013,-384.05896731229603,258.60164081573566,0.639344262295082,-2557.9693350215152,38480.24407276636,-85335.43808486649,0.05236981055679491,-52517.89743252284
RD37_SELL_FLOW_IMPULSE_SHADOW,D2,1.0,ROBUSTNESS_2023,127,127,0,127,1.0,57440.199693174814,-5576.45653251418,-63016.65622568898,-496.19414350936205,198.36962713361584,0.5984251968503937,-2847.7823899433533,40221.4523739684,-103238.1085996574,0.05294340048419458,-66806.3195318399
RD37_FAILED_RECOVERY_SHADOW,D2,1.0,ROBUSTNESS_2023,127,127,0,127,1.0,57440.199693174814,12257.689313538562,-45182.51037963625,-355.7677982648524,239.778513039428,0.6377952755905512,-2706.807047282491,39550.23924159477,-84732.749621231,0.04944700757316059,-52756.28431183346
RD37_QUALIFIED_STRESS_UNION_SHADOW,D2,1.0,ROBUSTNESS_2023,127,127,0,127,1.0,57440.199693174814,-2398.6632144309638,-59838.862907605784,-471.1721488787857,254.92052530369506,0.6062992125984252,-2847.7823899433533,42363.64518162997,-102202.50808923575,0.051153391702356096,-64117.31062731515
CONTROL_NO_RD37_EXIT,D2,2.0,ROBUSTNESS_2022,45,45,0,0,0.0,-15661.21679979741,-15661.21679979741,0.0,,,,,0.0,0.0,,0.0
RD37_DOWNSIDE_STRESS_SHADOW,D2,2.0,ROBUSTNESS_2022,45,45,0,43,0.9555555555555556,-15661.21679979741,3317.296133301418,18978.51293309883,441.36076588601935,451.81419447092514,0.7674418604651163,-1327.9480862963728,22859.842989992165,-3881.3300568933373,0.16053532594880718,13876.108959528281
RD37_SELL_FLOW_IMPULSE_SHADOW,D2,2.0,ROBUSTNESS_2022,45,45,0,45,1.0,-15661.21679979741,-3778.531843201903,11882.684956595507,264.0596657021224,363.11806529548306,0.6888888888888889,-1666.5044316004828,22690.009838797436,-10807.32488220193,0.1492932169070779,6573.383224530814
RD37_FAILED_RECOVERY_SHADOW,D2,2.0,ROBUSTNESS_2022,45,45,0,45,1.0,-15661.21679979741,2711.9374269023015,18373.154226699713,408.2923161488825,615.2494391291306,0.7777777777777778,-1671.5159954768349,24565.01251082394,-6191.858284124231,0.12251503210862254,13207.887729644297
RD37_QUALIFIED_STRESS_UNION_SHADOW,D2,2.0,ROBUSTNESS_2022,45,45,0,45,1.0,-15661.21679979741,-3099.3176314671664,12561.899168330243,279.1533148517832,363.11806529548306,0.6888888888888889,-1689.6652539643383,23059.92831251368,-10498.029144183438,0.14717683726748107,7252.59743626555
CONTROL_NO_RD37_EXIT,D2,2.0,ROBUSTNESS_2023,127,127,0,0,0.0,49219.50291574712,49219.50291574712,0.0,,,,,0.0,0.0,,0.0
RD37_DOWNSIDE_STRESS_SHADOW,D2,2.0,ROBUSTNESS_2023,127,127,0,122,0.9606299212598425,49219.50291574712,4942.354777027671,-44277.14813871945,-362.9274437599954,245.39646414371558,0.639344262295082,-2456.8126035432592,37068.14835599082,-81345.29649471027,0.05125467638494927,-49748.661956862896
RD37_SELL_FLOW_IMPULSE_SHADOW,D2,2.0,ROBUSTNESS_2023,127,127,0,127,1.0,49219.50291574712,-10482.774784776511,-59702.277700523606,-470.0966748072725,188.9790592148683,0.5984251968503937,-2756.4229854509335,38066.23121695689,-97768.50891748053,0.05328328338407125,-63371.993891153
RD37_FAILED_RECOVERY_SHADOW,D2,2.0,ROBUSTNESS_2023,127,127,0,127,1.0,49219.50291574712,6485.7398770149,-42733.76303873221,-336.4863231396237,232.12272850723383,0.6377952755905512,-2604.959752442123,38566.39525806684,-81300.15829679905,0.049810020354428476,-50029.524098758215
RD37_QUALIFIED_STRESS_UNION_SHADOW,D2,2.0,ROBUSTNESS_2023,127,127,0,127,1.0,49219.50291574712,-7475.660378819994,-56695.16329456711,-446.41860861863864,252.27314977192026,0.6062992125984252,-2756.4229854509335,40294.74931298345,-96989.91260755056,0.05149628846268198,-60841.58541243509
CONTROL_NO_RD37_EXIT,E2,1.0,ROBUSTNESS_2022,45,45,0,0,0.0,-13994.924720618568,-13994.924720618568,0.0,,,,,0.0,0.0,,0.0
RD37_DOWNSIDE_STRESS_SHADOW,E2,1.0,ROBUSTNESS_2022,45,45,0,43,0.9555555555555556,-13994.924720618568,5159.3423897156135,19154.26711033418,445.4480723333531,458.5335180918018,0.7674418604651163,-1345.5314444806527,22756.908178361904,-3602.6410680277168,0.16016812174381528,14014.76202664788
RD37_SELL_FLOW_IMPULSE_SHADOW,E2,1.0,ROBUSTNESS_2022,45,45,0,45,1.0,-13994.924720618568,-1993.0809416059408,12001.84377901263,266.707639533614,370.0139147300267,0.6888888888888889,-1679.6727075009953,22845.085474286323,-10843.24169527369,0.14889011202927266,6665.104646862149
RD37_FAILED_RECOVERY_SHADOW,E2,1.0,ROBUSTNESS_2022,45,45,0,45,1.0,-13994.924720618568,4576.312768970772,18571.237489589344,412.6941664353188,621.6229040209022,0.7777777777777778,-1684.0106992479532,24362.318232362166,-5791.08074277282,0.12211792499042502,13380.655960727781
RD37_QUALIFIED_STRESS_UNION_SHADOW,E2,1.0,ROBUSTNESS_2022,45,45,0,45,1.0,-13994.924720618568,-1308.8174401348406,12686.107280483731,281.9134951218607,370.0139147300267,0.6888888888888889,-1702.9384798073447,23177.498130443135,-10491.3908499594,0.14677947496029028,7349.368148333248
CONTROL_NO_RD37_EXIT,E2,1.0,ROBUSTNESS_2023,126,126,0,0,0.0,43814.00539705993,43814.00539705993,0.0,,,,,0.0,0.0,,0.0
RD37_DOWNSIDE_STRESS_SHADOW,E2,1.0,ROBUSTNESS_2023,126,126,0,121,0.9603174603174603,43814.00539705993,10155.31104647176,-33658.69435058818,-278.17102769081146,262.1708936201669,0.628099173553719,-2465.172985038869,42146.06151288295,-75804.75586347113,0.06375111728442742,-40772.06725685796
RD37_SELL_FLOW_IMPULSE_SHADOW,E2,1.0,ROBUSTNESS_2023,126,126,0,126,1.0,43814.00539705993,-5425.779792988568,-49239.785190048504,-390.7919459527659,201.55743173376368,0.6111111111111112,-2672.8999249886183,42904.03180379244,-92143.81699384094,0.05807117756818591,-55137.15209640182
