variant_id,control_trade_id,universe_id,cost_multiplier,period_id,pair,signal_time,entry_time,control_exit_time,control_exit_reason,control_exit_price,quantity,entry_notional,entry_cost,control_net_pnl,support_families,support_family_bucket,triggered,evaluable,trigger_time,trigger_family_set,participation_burst_at_trigger,shadow_exit_time,shadow_exit_price,exit_advance_hours,shadow_net_pnl,delta_net_pnl,slot_escrow_release_time,capital_reuse_allowed
CONTROL_NO_RD37_EXIT,0,C2,1.0,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+00:00,2022-01-04 19:00:00+00:00,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,107.591,79.27350239141732,9000.0,11.25,-492.7959984497628,MOMENTUM_BREAKOUT,MB,False,True,,,False,2022-01-04 19:00:00+00:00,107.591,0,-492.7959984497628,0.0,2022-01-04 19:00:00+00:00,False
RD37_DOWNSIDE_STRESS_SHADOW,0,C2,1.0,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+00:00,2022-01-04 19:00:00+00:00,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,107.591,79.27350239141732,9000.0,11.25,-492.7959984497628,MOMENTUM_BREAKOUT,MB,False,True,,,False,2022-01-04 19:00:00+00:00,107.591,0,-492.7959984497628,0.0,2022-01-04 19:00:00+00:00,False
RD37_SELL_FLOW_IMPULSE_SHADOW,0,C2,1.0,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+00:00,2022-01-04 19:00:00+00:00,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,107.591,79.27350239141732,9000.0,11.25,-492.7959984497628,MOMENTUM_BREAKOUT,MB,True,True,2022-01-02 02:00:00+00:00,SELL_FLOW_IMPULSE,False,2022-01-02 02:00:00+00:00,116.31,65,197.52568681681694,690.3216852665797,2022-01-04 19:00:00+00:00,False
RD37_FAILED_RECOVERY_SHADOW,0,C2,1.0,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+00:00,2022-01-04 19:00:00+00:00,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,107.591,79.27350239141732,9000.0,11.25,-492.7959984497628,MOMENTUM_BREAKOUT,MB,True,True,2022-01-02 02:00:00+00:00,FAILED_INTRAHOUR_RECOVERY,False,2022-01-02 02:00:00+00:00,116.31,65,197.52568681681694,690.3216852665797,2022-01-04 19:00:00+00:00,False
RD37_QUALIFIED_STRESS_UNION_SHADOW,0,C2,1.0,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+00:00,2022-01-04 19:00:00+00:00,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,107.591,79.27350239141732,9000.0,11.25,-492.7959984497628,MOMENTUM_BREAKOUT,MB,True,True,2022-01-02 02:00:00+00:00,SELL_FLOW_IMPULSE|FAILED_INTRAHOUR_RECOVERY,False,2022-01-02 02:00:00+00:00,116.31,65,197.52568681681694,690.3216852665797,2022-01-04 19:00:00+00:00,False
CONTROL_NO_RD37_EXIT,1,C2,1.0,ROBUSTNESS_2022,ETH-USDT,2022-01-02 17:00:00+00:00,2022-01-02 18:00:00+00:00,2022-01-05 18:00:00+00:00,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,3792.5,2.347874813094988,9013.984461182408,11.267480576478013,-132.0671071319737,MOMENTUM_BREAKOUT,MB,False,True,,,False,2022-01-05 18:00:00+00:00,3792.5,0,-132.0671071319737,0.0,2022-01-05 18:00:00+00:00,False
RD37_DOWNSIDE_STRESS_SHADOW,1,C2,1.0,ROBUSTNESS_2022,ETH-USDT,2022-01-02 17:00:00+00:00,2022-01-02 18:00:00+00:00,2022-01-05 18:00:00+00:00,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,3792.5,2.347874813094988,9013.984461182408,11.267480576478013,-132.0671071319737,MOMENTUM_BREAKOUT,MB,False,True,,,False,2022-01-05 18:00:00+00:00,3792.5,0,-132.0671071319737,0.0,2022-01-05 18:00:00+00:00,False
RD37_SELL_FLOW_IMPULSE_SHADOW,1,C2,1.0,ROBUSTNESS_2022,ETH-USDT,2022-01-02 17:00:00+00:00,2022-01-02 18:00:00+00:00,2022-01-05 18:00:00+00:00,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,3792.5,2.347874813094988,9013.984461182408,11.267480576478013,-132.0671071319737,MOMENTUM_BREAKOUT,MB,True,True,2022-01-02 22:00:00+00:00,SELL_FLOW_IMPULSE,False,2022-01-02 22:00:00+00:00,3810.07,68,-90.86651186647666,41.20059526549704,2022-01-05 18:00:00+00:00,False
RD37_FAILED_RECOVERY_SHADOW,1,C2,1.0,ROBUSTNESS_2022,ETH-USDT,2022-01-02 17:00:00+00:00,2022-01-02 18:00:00+00:00,2022-01-05 18:00:00+00:00,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,3792.5,2.347874813094988,9013.984461182408,11.267480576478013,-132.0671071319737,MOMENTUM_BREAKOUT,MB,True,True,2022-01-03 04:00:00+00:00,FAILED_INTRAHOUR_RECOVERY,False,2022-01-03 04:00:00+00:00,3797.41,62,-120.55345188134203,11.513655250631672,2022-01-05 18:00:00+00:00,False
RD37_QUALIFIED_STRESS_UNION_SHADOW,1,C2,1.0,ROBUSTNESS_2022,ETH-USDT,2022-01-02 17:00:00+00:00,2022-01-02 18:00:00+00:00,2022-01-05 18:00:00+00:00,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,3792.5,2.347874813094988,9013.984461182408,11.267480576478013,-132.0671071319737,MOMENTUM_BREAKOUT,MB,True,True,2022-01-02 22:00:00+00:00,SELL_FLOW_IMPULSE,False,2022-01-02 22:00:00+00:00,3810.07,68,-90.86651186647666,41.20059526549704,2022-01-05 18:00:00+00:00,False
