slice_type,slice_value,variant_id,universe_id,cost_multiplier,period_id,trade_count,triggered_trade_count,total_control_net_pnl,total_shadow_net_pnl,total_delta_net_pnl
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_FAILED_RECOVERY_SHADOW,C2,2.0,ROBUSTNESS_2022,6,6,-3141.85495523571,426.2714061550858,3568.1263613907945
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_SELL_FLOW_IMPULSE_SHADOW,C2,2.0,ROBUSTNESS_2022,5,5,-4501.827249383607,170.2627468054383,4672.089996189045
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,CONTROL_NO_RD37_EXIT,C2,2.0,ROBUSTNESS_2023,124,0,27689.69871407565,27689.69871407565,0.0
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_DOWNSIDE_STRESS_SHADOW,C2,2.0,ROBUSTNESS_2023,51,46,24182.15603910987,3593.440190299475,-20588.7158488104
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_SELL_FLOW_IMPULSE_SHADOW,C2,2.0,ROBUSTNESS_2023,113,113,32216.532630760183,-9460.129839219491,-41676.66246997968
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_FAILED_RECOVERY_SHADOW,C2,2.0,ROBUSTNESS_2023,89,89,14273.003774140809,9344.961963794456,-4928.041810346351
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_QUALIFIED_STRESS_UNION_SHADOW,C2,2.0,ROBUSTNESS_2023,100,100,31461.25766615,-6295.564253089202,-37756.821919239206
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_DOWNSIDE_STRESS_SHADOW,C2,2.0,ROBUSTNESS_2023,73,73,3507.5426749657813,410.81496866110643,-3096.727706304672
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_FAILED_RECOVERY_SHADOW,C2,2.0,ROBUSTNESS_2023,35,35,13416.694939934843,-1690.1130083832245,-15106.807948318068
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_QUALIFIED_STRESS_UNION_SHADOW,C2,2.0,ROBUSTNESS_2023,24,24,-3771.5589520743524,-1135.3411034166138,2636.2178486577395
