variant_id,disposition,advancement_eligible,failure_count,worst_universe_2x_monthly_geometric_return,worst_universe_2x_profit_factor,worst_universe_2x_maximum_drawdown,maximum_turnover_across_combined_runs,failures_json
RD19_P2_V01,REJECTED_HARD_GATES,False,15,0.0,0.0,0.0,0.0,"[""C2_2X_MONTHLY_GTE_0_02"", ""C2_2X_NET_RETURN_GT_0"", ""C2_2X_PF_GTE_1_05"", ""C2_2X_POSITIVE_YEARS_GTE_3"", ""C2_2X_TRADES_GTE_75"", ""D2_2X_MONTHLY_GTE_0_02"", ""D2_2X_NET_RETURN_GT_0"", ""D2_2X_PF_GTE_1_05"", ""D2_2X_POSITIVE_YEARS_GTE_3"", ""D2_2X_TRADES_GTE_75"", ""E2_2X_MONTHLY_GTE_0_02"", ""E2_2X_NET_RETURN_GT_0"", ""E2_2X_PF_GTE_1_05"", ""E2_2X_POSITIVE_YEARS_GTE_3"", ""E2_2X_TRADES_GTE_75""]"
RD19_P2_V02,REJECTED_HARD_GATES,False,15,0.0,0.0,0.0,0.0,"[""C2_2X_MONTHLY_GTE_0_02"", ""C2_2X_NET_RETURN_GT_0"", ""C2_2X_PF_GTE_1_05"", ""C2_2X_POSITIVE_YEARS_GTE_3"", ""C2_2X_TRADES_GTE_75"", ""D2_2X_MONTHLY_GTE_0_02"", ""D2_2X_NET_RETURN_GT_0"", ""D2_2X_PF_GTE_1_05"", ""D2_2X_POSITIVE_YEARS_GTE_3"", ""D2_2X_TRADES_GTE_75"", ""E2_2X_MONTHLY_GTE_0_02"", ""E2_2X_NET_RETURN_GT_0"", ""E2_2X_PF_GTE_1_05"", ""E2_2X_POSITIVE_YEARS_GTE_3"", ""E2_2X_TRADES_GTE_75""]"
RD19_P2_V03,REJECTED_HARD_GATES,False,15,-4.540776653072509e-05,0.0,0.0027208196920934,0.5340866228190524,"[""C2_2X_MONTHLY_GTE_0_02"", ""C2_2X_NET_RETURN_GT_0"", ""C2_2X_PF_GTE_1_05"", ""C2_2X_POSITIVE_YEARS_GTE_3"", ""C2_2X_TRADES_GTE_75"", ""D2_2X_MONTHLY_GTE_0_02"", ""D2_2X_NET_RETURN_GT_0"", ""D2_2X_PF_GTE_1_05"", ""D2_2X_POSITIVE_YEARS_GTE_3"", ""D2_2X_TRADES_GTE_75"", ""E2_2X_MONTHLY_GTE_0_02"", ""E2_2X_NET_RETURN_GT_0"", ""E2_2X_PF_GTE_1_05"", ""E2_2X_POSITIVE_YEARS_GTE_3"", ""E2_2X_TRADES_GTE_75""]"
RD19_P2_V04,REJECTED_HARD_GATES,False,15,0.0,0.0,0.0,0.0,"[""C2_2X_MONTHLY_GTE_0_02"", ""C2_2X_NET_RETURN_GT_0"", ""C2_2X_PF_GTE_1_05"", ""C2_2X_POSITIVE_YEARS_GTE_3"", ""C2_2X_TRADES_GTE_75"", ""D2_2X_MONTHLY_GTE_0_02"", ""D2_2X_NET_RETURN_GT_0"", ""D2_2X_PF_GTE_1_05"", ""D2_2X_POSITIVE_YEARS_GTE_3"", ""D2_2X_TRADES_GTE_75"", ""E2_2X_MONTHLY_GTE_0_02"", ""E2_2X_NET_RETURN_GT_0"", ""E2_2X_PF_GTE_1_05"", ""E2_2X_POSITIVE_YEARS_GTE_3"", ""E2_2X_TRADES_GTE_75""]"
RD19_P2_V05,REJECTED_HARD_GATES,False,15,-6.921018813532687e-05,0.0,0.0070546285155603,1.633227076973524,"[""C2_2X_MONTHLY_GTE_0_02"", ""C2_2X_NET_RETURN_GT_0"", ""C2_2X_PF_GTE_1_05"", ""C2_2X_POSITIVE_YEARS_GTE_3"", ""C2_2X_TRADES_GTE_75"", ""D2_2X_MONTHLY_GTE_0_02"", ""D2_2X_NET_RETURN_GT_0"", ""D2_2X_PF_GTE_1_05"", ""D2_2X_POSITIVE_YEARS_GTE_3"", ""D2_2X_TRADES_GTE_75"", ""E2_2X_MONTHLY_GTE_0_02"", ""E2_2X_NET_RETURN_GT_0"", ""E2_2X_PF_GTE_1_05"", ""E2_2X_POSITIVE_YEARS_GTE_3"", ""E2_2X_TRADES_GTE_75""]"
RD19_P2_V06,REJECTED_HARD_GATES,False,15,-6.921018813532687e-05,0.0,0.0070546285155603,1.998680119934903,"[""C2_2X_MONTHLY_GTE_0_02"", ""C2_2X_NET_RETURN_GT_0"", ""C2_2X_PF_GTE_1_05"", ""C2_2X_POSITIVE_YEARS_GTE_3"", ""C2_2X_TRADES_GTE_75"", ""D2_2X_MONTHLY_GTE_0_02"", ""D2_2X_NET_RETURN_GT_0"", ""D2_2X_PF_GTE_1_05"", ""D2_2X_POSITIVE_YEARS_GTE_3"", ""D2_2X_TRADES_GTE_75"", ""E2_2X_MONTHLY_GTE_0_02"", ""E2_2X_NET_RETURN_GT_0"", ""E2_2X_PF_GTE_1_05"", ""E2_2X_POSITIVE_YEARS_GTE_3"", ""E2_2X_TRADES_GTE_75""]"
RD19_P2_V07,REJECTED_HARD_GATES,False,15,-0.0001028083015761,0.0,0.0070000026391647,2.3138795489274773,"[""C2_2X_MONTHLY_GTE_0_02"", ""C2_2X_NET_RETURN_GT_0"", ""C2_2X_PF_GTE_1_05"", ""C2_2X_POSITIVE_YEARS_GTE_3"", ""C2_2X_TRADES_GTE_75"", ""D2_2X_MONTHLY_GTE_0_02"", ""D2_2X_NET_RETURN_GT_0"", ""D2_2X_PF_GTE_1_05"", ""D2_2X_POSITIVE_YEARS_GTE_3"", ""D2_2X_TRADES_GTE_75"", ""E2_2X_MONTHLY_GTE_0_02"", ""E2_2X_NET_RETURN_GT_0"", ""E2_2X_PF_GTE_1_05"", ""E2_2X_POSITIVE_YEARS_GTE_3"", ""E2_2X_TRADES_GTE_75""]"
RD19_P2_V08,REJECTED_HARD_GATES,False,15,0.0,0.0,0.0,0.0,"[""C2_2X_MONTHLY_GTE_0_02"", ""C2_2X_NET_RETURN_GT_0"", ""C2_2X_PF_GTE_1_05"", ""C2_2X_POSITIVE_YEARS_GTE_3"", ""C2_2X_TRADES_GTE_75"", ""D2_2X_MONTHLY_GTE_0_02"", ""D2_2X_NET_RETURN_GT_0"", ""D2_2X_PF_GTE_1_05"", ""D2_2X_POSITIVE_YEARS_GTE_3"", ""D2_2X_TRADES_GTE_75"", ""E2_2X_MONTHLY_GTE_0_02"", ""E2_2X_NET_RETURN_GT_0"", ""E2_2X_PF_GTE_1_05"", ""E2_2X_POSITIVE_YEARS_GTE_3"", ""E2_2X_TRADES_GTE_75""]"
RD19_P2_V09,REJECTED_HARD_GATES,False,15,0.0,0.0,0.0,0.0,"[""C2_2X_MONTHLY_GTE_0_02"", ""C2_2X_NET_RETURN_GT_0"", ""C2_2X_PF_GTE_1_05"", ""C2_2X_POSITIVE_YEARS_GTE_3"", ""C2_2X_TRADES_GTE_75"", ""D2_2X_MONTHLY_GTE_0_02"", ""D2_2X_NET_RETURN_GT_0"", ""D2_2X_PF_GTE_1_05"", ""D2_2X_POSITIVE_YEARS_GTE_3"", ""D2_2X_TRADES_GTE_75"", ""E2_2X_MONTHLY_GTE_0_02"", ""E2_2X_NET_RETURN_GT_0"", ""E2_2X_PF_GTE_1_05"", ""E2_2X_POSITIVE_YEARS_GTE_3"", ""E2_2X_TRADES_GTE_75""]"
RD19_P2_V10,REJECTED_HARD_GATES,False,15,0.0,0.0,0.0,0.0,"[""C2_2X_MONTHLY_GTE_0_02"", ""C2_2X_NET_RETURN_GT_0"", ""C2_2X_PF_GTE_1_05"", ""C2_2X_POSITIVE_YEARS_GTE_3"", ""C2_2X_TRADES_GTE_75"", ""D2_2X_MONTHLY_GTE_0_02"", ""D2_2X_NET_RETURN_GT_0"", ""D2_2X_PF_GTE_1_05"", ""D2_2X_POSITIVE_YEARS_GTE_3"", ""D2_2X_TRADES_GTE_75"", ""E2_2X_MONTHLY_GTE_0_02"", ""E2_2X_NET_RETURN_GT_0"", ""E2_2X_PF_GTE_1_05"", ""E2_2X_POSITIVE_YEARS_GTE_3"", ""E2_2X_TRADES_GTE_75""]"
RD19_P2_V11,REJECTED_HARD_GATES,False,15,-0.0001028083015761,0.0,0.0070000026391647,2.305426396351362,"[""C2_2X_MONTHLY_GTE_0_02"", ""C2_2X_NET_RETURN_GT_0"", ""C2_2X_PF_GTE_1_05"", ""C2_2X_POSITIVE_YEARS_GTE_3"", ""C2_2X_TRADES_GTE_75"", ""D2_2X_MONTHLY_GTE_0_02"", ""D2_2X_NET_RETURN_GT_0"", ""D2_2X_PF_GTE_1_05"", ""D2_2X_POSITIVE_YEARS_GTE_3"", ""D2_2X_TRADES_GTE_75"", ""E2_2X_MONTHLY_GTE_0_02"", ""E2_2X_NET_RETURN_GT_0"", ""E2_2X_PF_GTE_1_05"", ""E2_2X_POSITIVE_YEARS_GTE_3"", ""E2_2X_TRADES_GTE_75""]"
